# METADATA
key	value
export_created_at	2026-06-10T16:13:48
record_start_app_timestamp	1781097203.6957777
record_end_app_timestamp	1781097224.8809958
record_samples	1515
record_duration_s	21.18521809577942
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781097203.6957862, ""lsl_timestamp"": 714.5568663}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781097206.7242317, ""lsl_timestamp"": 717.5853085}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781097209.7471197, ""lsl_timestamp"": 720.6081966}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781097212.7699783, ""lsl_timestamp"": 723.6310558}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781097215.8010485, ""lsl_timestamp"": 726.6621256}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781097218.8240306, ""lsl_timestamp"": 729.6851082}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781097221.8427517, ""lsl_timestamp"": 732.703829}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 16:02:51"", ""type"": ""EEG"", ""source_id"": ""checkup_151_10.06.2026 16:02:51"", ""uid"": ""d5530522-49ac-4767-9a8b-002ba3377ac4"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	1
export_step_total	7
export_step_dac0_f1_hz	10.0
export_step_dac0_f2_hz	10.0
export_step_dac1_f1_hz	8.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
0.05239605903625488	1781097203.0	1781097203.7481737	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.26363515853881836	-0.43350196353077697	36.159751892089844	15.100269717083947	44.25187683105469	16.12939626645624	48.16868591308594	18.719110233347774	47.3644905090332	17.69751734772049	57.760501861572266	18.148902290659407	42.34811019897461	14.106256516434112	-6.527159214019775	-2.4012693600375847	0.0	0.0	0.0	0.0
0.05240225791931152	1781097203.0	1781097203.74818	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.0011186599731445	-0.14494447819987685	39.626617431640625	19.10495319856427	46.615989685058594	19.796773475227432	51.355525970458984	23.505334234840632	49.057254791259766	20.389308968909102	60.15517044067383	21.68667299662484	46.04335403442383	20.106876563231896	-4.712462902069092	-2.017828424962119	0.0	0.0	0.0	0.0
0.05240440368652344	1781097203.0	1781097203.748182	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.1475824117660522	0.13036776176572878	44.0728645324707	23.00220010841408	50.345760345458984	23.474794621285824	56.06851577758789	28.264669420027076	51.985382080078125	23.110526945093444	63.84036636352539	25.22475392086985	51.92639923095703	25.8739989708825	-4.324901103973389	-1.7381355222164832	0.0	0.0	0.0	0.0
0.05240607261657715	1781097203.0	1781097203.7481837	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.8622297048568726	0.37148124989146036	48.05702590942383	26.577933294682776	54.42379379272461	27.054473458346255	61.20557403564453	32.868110652272726	55.0557861328125	25.775442504408282	67.81346893310547	28.652839532466327	58.768775939941406	31.125414976149514	-5.328919410705566	-1.6664547358529291	0.0	0.0	0.0	0.0
0.05240797996520996	1781097203.0	1781097203.7481856	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.6117408871650696	0.5594495914307966	50.375335693359375	29.587633882353735	57.567527770996094	30.357091166913047	65.39632415771484	37.113802240608685	57.11381530761719	28.22981191704635	70.77128601074219	31.7946585198684	64.73258972167969	35.57776185961207	-6.813230037689209	-1.878528620080217	0.0	0.0	0.0	0.0
0.05240964889526367	1781097203.0	1781097203.7481873	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.7651692628860474	0.678924837964566	50.63554382324219	31.771373900254797	58.96662521362305	33.13744006015991	67.79705047607422	40.728163007707195	57.589256286621094	30.253027116175804	71.84044647216797	34.41017980455057	68.1142349243164	38.968118035908574	-7.737884521484375	-2.4114040692300507	0.0	0.0	0.0	0.0
0.05241131782531738	1781097203.0	1781097203.748189	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.2926274538040161	0.7191487695756277	49.49720764160156	32.87805133511021	58.9058837890625	35.10642136865499	68.69229125976562	43.391008055751804	56.918182373046875	31.578810237350293	71.2765884399414	36.21685858065553	68.24115753173828	41.08248771382796	-7.762389183044434	-3.2592539204387396	0.0	0.0	0.0	0.0
0.052412986755371094	1781097203.0	1781097203.7481906	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.8035260438919067	0.6748982310210592	48.364261627197266	32.697337214032366	58.77147674560547	35.97189636434243	69.41119384765625	44.78355117270844	56.378604888916016	31.933154146449304	70.57512664794922	36.92939307369166	66.06112670898438	41.78451053383257	-7.547327995300293	-4.374339351169019	0.0	0.0	0.0	0.0
0.052414894104003906	1781097203.0	1781097203.7481925	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.8785643577575684	0.5475989794837602	48.5204963684082	31.098307617047418	60.15685272216797	35.49512061798435	71.38021087646484	44.654582188882436	57.234642028808594	31.086622709154977	71.59552764892578	36.31578323640123	63.892250061035156	41.039547768132316	-8.237820625305176	-5.6725221989093635	0.0	0.0	0.0	0.0
0.05241656303405762	1781097203.0	1781097203.7481942	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.4096481800079346	0.3462291450396946	49.95750427246094	28.071458365284233	63.30221939086914	33.55590545579046	74.6377182006836	42.89442529352044	59.45945739746094	28.914465481397254	74.84947204589844	34.263039958819355	64.00300598144531	38.93219392085353	-10.46839714050293	-7.0434264769836235	0.0	0.0	0.0	0.0
