# METADATA
key	value
export_created_at	2026-06-17T14:33:17
record_start_app_timestamp	1781695955.6878743
record_end_app_timestamp	1781695976.8425794
record_samples	1515
record_duration_s	21.154705047607422
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781695955.687882, ""lsl_timestamp"": 2401.5426242}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781695958.7085419, ""lsl_timestamp"": 2404.563283}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781695961.7315974, ""lsl_timestamp"": 2407.5863405}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781695964.774973, ""lsl_timestamp"": 2410.6297141}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781695967.8015592, ""lsl_timestamp"": 2413.6562993}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781695970.8121834, ""lsl_timestamp"": 2416.6669234}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781695973.8350413, ""lsl_timestamp"": 2419.6897815}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	1
export_step_total	7
export_step_dac0_f1_hz	10.0
export_step_dac0_f2_hz	10.0
export_step_dac1_f1_hz	8.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
0.05298471450805664	1781695955.0	1781695955.740859	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.1593492180109024	1.0802313269998087	-11.037725448608398	-1.8175997462745235	-17.969804763793945	-3.416026709477803	-27.473255157470703	-2.305868260344123	-11.39342212677002	0.7667551325487815	-18.071687698364258	-0.009678834391276814	-29.619338989257812	2.227623052316612	-6.369958400726318	-0.7507254339751034	0.0	0.0	0.0	0.0
0.052992820739746094	1781695955.0	1781695955.7408671	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.1379013061523438	0.4030113651805183	-11.516153335571289	-0.4463377576045796	-18.21969985961914	-0.7632663086515827	-28.54991340637207	1.0225416019778892	-11.38947582244873	2.9411059127827954	-18.044004440307617	3.2325093839519763	-31.01197624206543	7.799297888742894	-6.794442653656006	0.7777042862983135	0.0	0.0	0.0	0.0
0.05299496650695801	1781695955.0	1781695955.7408693	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.9442609548568726	-0.16099176923237685	-10.936057090759277	0.9571213646865845	-16.515010833740234	1.8035142146379786	-26.449050903320312	4.253807251233993	-10.059131622314453	5.079087603716963	-15.739009857177734	6.343803416930267	-27.26805305480957	13.212900344101175	-5.432705402374268	2.149362701618589	0.0	0.0	0.0	0.0
0.05299711227416992	1781695955.0	1781695955.7408714	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.3359925746917725	-0.46984953419696923	-9.164545059204102	2.4096937614362997	-13.000631332397461	4.207805988060368	-21.450225830078125	7.34155114643301	-7.375762939453125	7.155250068423612	-11.419726371765137	9.226442582357915	-19.203086853027344	18.184459172086736	-3.0068206787109375	3.200210658991316	0.0	0.0	0.0	0.0
0.05299949645996094	1781695955.0	1781695955.7408738	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.1216259002685547	-0.4216635703301826	-6.451294898986816	3.882516048919089	-8.524348258972168	6.357084141868439	-14.877745628356934	10.221808379744312	-3.844440460205078	9.116708603330014	-6.196366786956787	11.778746106230162	-9.955151557922363	22.42280659255705	-0.6797836422920227	3.8049355467992156	0.0	0.0	0.0	0.0
0.05300140380859375	1781695955.0	1781695955.7408757	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.2818676233291626	0.023472594686163334	-3.2837655544281006	5.299202197362834	-4.196439743041992	8.152566508067117	-8.394729614257812	12.818252515793889	-0.20062510669231415	10.883113631436116	-1.3959252834320068	13.903407364636163	-2.860004425048828	25.678627686308612	0.4576934576034546	3.9031853430844774	0.0	0.0	0.0	0.0
0.053003787994384766	1781695955.0	1781695955.740878	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.019394028931856155	0.8335675099670686	-0.29009950160980225	6.553919631075393	-1.0139250755310059	9.514175472563839	-3.5021114349365234	15.066008487695575	2.834883689880371	12.3629006994661	1.9533394575119019	15.528280065244322	0.6361487507820129	27.799938273335574	-0.06867477297782898	3.5186392523586227	0.0	0.0	0.0	0.0
0.05300545692443848	1781695955.0	1781695955.7408798	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.3322519063949585	1.909873801983743	1.862243890762329	7.543059808639571	0.3849676251411438	10.410564494335125	-1.2063571214675903	16.94126705795833	4.69498872756958	13.479916210650618	3.353414535522461	16.630829043389852	1.5842785835266113	28.773657164922625	-1.9188282489776611	2.7622717603162914	0.0	0.0	0.0	0.0
0.05300736427307129	1781695955.0	1781695955.7408817	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	2.497617721557617	3.1061882882954235	2.6480422019958496	8.199277604052714	-0.122392438352108	10.880711145021369	-1.7148600816726685	18.4797983942929	5.072664260864258	14.200243177806287	2.847806930541992	17.25464760746813	2.069464683532715	28.73829980952461	-4.194703102111816	1.815051765306938	0.0	0.0	0.0	0.0
0.053009033203125	1781695955.0	1781695955.7408834	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	3.390775203704834	4.257736677784329	1.9321473836898804	8.51592158656603	-2.064222812652588	11.036454791220068	-4.224781036376953	19.77224892061904	4.061402320861816	14.549021934232458	0.9627429842948914	17.50938055655315	2.731189727783203	27.963657598026458	-5.98238468170166	0.8922659306095907	0.0	0.0	0.0	0.0
