# METADATA
key	value
export_created_at	2026-06-17T14:40:57
record_start_app_timestamp	1781696417.7396698
record_end_app_timestamp	1781696438.9214993
record_samples	1500
record_duration_s	21.18182945251465
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696417.7396765, ""lsl_timestamp"": 2863.5944179}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781696420.7641833, ""lsl_timestamp"": 2866.6189229}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696423.7869868, ""lsl_timestamp"": 2869.6417268}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781696426.7976465, ""lsl_timestamp"": 2872.6523872}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696429.8285046, ""lsl_timestamp"": 2875.6832453}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781696432.8515592, ""lsl_timestamp"": 2878.7062986}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781696435.8744664, ""lsl_timestamp"": 2881.7292059}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	4
export_step_total	7
export_step_dac0_f1_hz	2.0
export_step_dac0_f2_hz	3.0
export_step_dac1_f1_hz	3.0
export_step_dac1_f2_hz	2.0
export_step_duration_s	3.0
export_step_records	1500

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
9.090334415435791	1781696426.0	1781696426.8300042	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.7682570219039917	1.4401805388371014	13.594597816467285	9.460730776304844	9.579129219055176	9.645908850859966	7.33745002746582	10.912333968043718	11.495641708374023	7.617638931160993	3.232868194580078	4.307417991828096	6.667329788208008	7.937846872215559	0.16572633385658264	-3.933658595182416	0.0	0.0	0.0	0.0
9.090340852737427	1781696426.0	1781696426.8300107	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.608038067817688	-0.8228723505337804	14.468889236450195	10.749301083220955	10.314872741699219	10.883082084983906	9.304537773132324	12.376481508835097	12.549541473388672	9.179225292183716	4.1491217613220215	5.884078050039397	8.202435493469238	9.098105219901248	-0.5217846632003784	-3.666027580268742	0.0	0.0	0.0	0.0
9.090343236923218	1781696426.0	1781696426.830013	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-5.342361927032471	-2.7681080565284324	15.694462776184082	11.770653088795667	11.455279350280762	11.86853621103709	10.96265697479248	13.485584840769969	14.069904327392578	10.465520965912987	5.599067687988281	7.186779378965317	9.490768432617188	9.965168657376017	-0.5706562399864197	-3.4748945752168083	0.0	0.0	0.0	0.0
9.09034514427185	1781696426.0	1781696426.830015	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-8.050078392028809	-4.159504316656703	17.070297241210938	12.306486935932481	12.849648475646973	12.394863432649888	11.720680236816406	13.923383916340647	15.796712875366211	11.258759215528023	7.48639440536499	8.032029199764542	10.326238632202148	10.30735589152062	0.4979199171066284	-3.421487280658581	0.0	0.0	0.0	0.0
9.090347051620483	1781696426.0	1781696426.8300169	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-8.743758201599121	-4.875520597340184	17.975460052490234	12.228121427230745	13.87576961517334	12.340074355015963	11.093832015991211	13.502785193333937	17.09174346923828	11.429415326376423	9.321730613708496	8.318277427038241	10.434776306152344	9.998712313519126	2.0209829807281494	-3.5424667843235995	0.0	0.0	0.0	0.0
9.090348958969116	1781696426.0	1781696426.8300188	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-7.186789035797119	-4.929298400284788	17.64468002319336	11.521213728456756	13.715754508972168	11.692434540028525	9.045561790466309	12.204142914704143	17.158023834228516	10.960089242777958	10.261910438537598	8.044247690693195	9.50261116027832	9.045809346592309	2.7170467376708984	-3.8397926096283403	0.0	0.0	0.0	0.0
9.090350866317749	1781696426.0	1781696426.8300207	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-3.970432758331299	-4.457651249444955	15.712623596191406	10.28780005939048	11.939643859863281	10.553861913501642	6.22291898727417	10.179416134779336	15.518762588500977	9.94823066262918	9.458611488342285	7.311513505138107	7.420957565307617	7.588271520838889	1.6838699579238892	-4.276792909629951	0.0	0.0	0.0	0.0
9.090352535247803	1781696426.0	1781696426.8300223	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.291151762008667	-3.6809890712898037	12.60903263092041	8.723220005808763	8.956379890441895	9.11886701478275	3.691934585571289	7.721931740217816	12.443138122558594	8.584533450263509	6.615942478179932	6.306718013324271	4.55115270614624	5.871827809832218	-0.8661684393882751	-4.7847298772388385	0.0	0.0	0.0	0.0
9.090354204177856	1781696426.0	1781696426.830024	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	2.490154981613159	-2.844241547845805	9.402885437011719	7.071661690518645	5.8851213455200195	7.632010203971794	2.0813446044921875	5.209070946642579	8.94868278503418	7.109553683820623	2.4415547847747803	5.262475659148935	1.6976629495620728	4.198618737753624	-3.6925203800201416	-5.280525268388062	0.0	0.0	0.0	0.0
9.09035587310791	1781696426.0	1781696426.8300257	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	3.3498334884643555	-2.154906501814408	7.153660774230957	5.5704769646260806	3.8717222213745117	6.333357517147862	0.8902173638343811	3.0301366805500622	6.315690517425537	5.757878696975556	-1.3587515354156494	4.403044361770538	-0.2688436210155487	2.8650869015070626	-5.295853614807129	-5.690563158145766	0.0	0.0	0.0	0.0
