# METADATA
key	value
export_created_at	2026-06-17T14:24:13
record_start_app_timestamp	1781695403.1625354
record_end_app_timestamp	1781695424.2965598
record_samples	1500
record_duration_s	21.134024381637573
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781695403.162542, ""lsl_timestamp"": 1849.0172833}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781695406.1788404, ""lsl_timestamp"": 1852.0335801}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781695409.1934986, ""lsl_timestamp"": 1855.0482379}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781695412.204117, ""lsl_timestamp"": 1858.0588567}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781695415.226966, ""lsl_timestamp"": 1861.0817062}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781695418.2420187, ""lsl_timestamp"": 1864.0967593}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781695421.2687497, ""lsl_timestamp"": 1867.1234901}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	4
export_step_total	7
export_step_dac0_f1_hz	2.0
export_step_dac0_f2_hz	3.0
export_step_dac1_f1_hz	3.0
export_step_dac1_f2_hz	2.0
export_step_duration_s	3.0
export_step_records	1500

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
9.089067459106445	1781695412.0	1781695412.251603	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.0523595809936523	0.38138611263755634	-6.059308052062988	-5.466967265239455	-9.205516815185547	-4.469604662843181	-15.46843147277832	-7.466106908068189	-4.048529148101807	-6.715670677361631	-8.417664527893066	-4.67995524959688	-6.186864852905273	-5.321926636649552	-7.996114730834961	-3.1780936936184245	0.0	0.0	0.0	0.0
9.089072942733765	1781695412.0	1781695412.2516084	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.7913327813148499	0.05745325007729188	-5.939709186553955	-4.060319520053089	-8.716370582580566	-2.782698902637516	-13.96914291381836	-5.340868595970559	-4.133359909057617	-6.143791851363203	-8.203749656677246	-3.6869455483454256	-4.847995758056641	-3.751086200189099	-5.567305564880371	-1.1713870329113547	0.0	0.0	0.0	0.0
9.089075088500977	1781695412.0	1781695412.2516105	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.8975433707237244	-0.2245032852796875	-5.732614517211914	-2.597220398909286	-8.4965181350708	-1.0685105703788766	-13.1594820022583	-3.1116293722475743	-4.572661399841309	-5.485473048469189	-8.311173439025879	-2.6514789877759815	-3.8153512477874756	-2.304422393683788	-3.562467098236084	0.6815583313597552	0.0	0.0	0.0	0.0
9.08907699584961	1781695412.0	1781695412.2516124	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.475804328918457	-0.4374205720362676	-5.616264820098877	-1.1973285727405694	-8.604211807250977	0.5247399082491008	-13.544166564941406	-0.9043501332475647	-5.336667537689209	-4.795505308545985	-8.938011169433594	-1.6800447425464649	-4.04110860824585	-1.2104725911231196	-2.3629863262176514	2.213921942789038	0.0	0.0	0.0	0.0
9.089078426361084	1781695412.0	1781695412.2516139	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.2762033939361572	-0.5622604867898936	-5.062316417694092	-0.05059844594174878	-8.131190299987793	1.7824166522110523	-13.72244644165039	1.087598809544409	-5.614897727966309	-4.197975951559449	-9.214312553405762	-0.9383132841617736	-4.9211039543151855	-0.691945114798137	-1.9483739137649536	3.291589754480554	0.0	0.0	0.0	0.0
9.089080333709717	1781695412.0	1781695412.2516158	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.865408420562744	-0.5911434914153887	-3.4472908973693848	0.6104096205684232	-6.163240909576416	2.454719558261841	-11.81407356262207	2.635050965311422	-4.569437503814697	-3.8698351627599608	-8.090978622436523	-0.6278364283435317	-5.175027847290039	-0.9326202846597247	-1.9051777124404907	3.8323935202868746	0.0	0.0	0.0	0.0
9.08908200263977	1781695412.0	1781695412.2516174	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.8970346450805664	-0.5305272650749712	-0.780045211315155	0.5610482460518671	-2.7891650199890137	2.3116778288635436	-7.118365287780762	3.519807273593616	-2.1647071838378906	-4.002648582950203	-5.421202659606934	-0.9427682613418125	-4.185655117034912	-2.0425412008753003	-1.7155948877334595	3.819957789144869	0.0	0.0	0.0	0.0
9.089083909988403	1781695412.0	1781695412.2516193	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.321763753890991	-0.4024020932861225	2.007620096206665	-0.35416778408177524	0.6204015016555786	1.2089648230545735	-0.8299344182014465	3.5895692517179842	0.5535010695457458	-4.751135478079366	-2.378631114959717	-2.015958464336338	-2.677194833755493	-4.02727277762737	-1.179767370223999	3.3101652250425007	0.0	0.0	0.0	0.0
9.089085340499878	1781695412.0	1781695412.2516208	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.4121625423431396	-0.24167626495460653	3.3424837589263916	-2.1661126577712	1.9921551942825317	-0.8538571086000688	4.414803504943848	2.8108490580116308	1.8910740613937378	-6.182166627646353	-0.9634196758270264	-3.8686522624739403	-2.3450264930725098	-6.767984742003124	-0.7002739906311035	2.4285942538539906	0.0	0.0	0.0	0.0
9.089087009429932	1781695412.0	1781695412.2516224	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.6169405579566956	-0.08945484472295981	1.6731665134429932	-4.748864237037253	-0.4181672930717468	-3.7024462121603277	5.689178943634033	1.3050918117409323	0.35389190912246704	-8.24018398954178	-2.950547695159912	-6.380253402917628	-4.814662933349609	-10.020084692438655	-1.0523669719696045	1.3573085346134433	0.0	0.0	0.0	0.0
