# METADATA
key	value
export_created_at	2026-06-17T15:03:08
record_start_app_timestamp	1781697738.5754802
record_end_app_timestamp	1781697759.7676122
record_samples	1545
record_duration_s	21.192131996154785
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781697738.5754955, ""lsl_timestamp"": 4184.4302432}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781697741.616065, ""lsl_timestamp"": 4187.4708049}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781697744.6271524, ""lsl_timestamp"": 4190.4818951}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781697747.6699624, ""lsl_timestamp"": 4193.5247022}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781697750.7093363, ""lsl_timestamp"": 4196.5640762}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781697753.7281115, ""lsl_timestamp"": 4199.5828517}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781697756.750969, ""lsl_timestamp"": 4202.6057091}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	7
export_step_total	7
export_step_dac0_f1_hz	55.0
export_step_dac0_f2_hz	22.0
export_step_dac1_f1_hz	10.0
export_step_dac1_f2_hz	4.0
export_step_duration_s	3.0
export_step_records	1545

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
18.179150104522705	1781697756.0	1781697756.7546303	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-0.1537245661020279	2.91748213321877	-8.439229965209961	-9.444293388429333	-4.300414562225342	-9.161704461627892	-5.146074295043945	-10.042421890018804	-14.539872169494629	-11.350334228763856	-9.362060546875	-11.69509479507521	-8.36140251159668	-10.132158657256145	8.847094535827637	1.4529017766452008	0.0	0.0	0.0	0.0
18.179155349731445	1781697756.0	1781697756.7546356	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-0.11941826343536377	1.9336278709705632	-13.612154006958008	-12.21152325086008	-11.467738151550293	-13.159598823833894	-13.159621238708496	-14.436785509873301	-18.618566513061523	-13.563269898896943	-16.23966407775879	-15.070506468553944	-15.833091735839844	-13.56027444544583	4.13375186920166	-2.505186430912517	0.0	0.0	0.0	0.0
18.179157495498657	1781697756.0	1781697756.7546377	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-0.6164082288742065	1.0506798571708305	-17.103557586669922	-14.479954334310571	-16.808868408203125	-16.498640552438406	-18.95946502685547	-18.123655592624267	-21.2761287689209	-15.341444524645265	-20.70437240600586	-17.835898623372735	-20.388385772705078	-16.387167541825832	-0.8704141974449158	-6.01035163043712	0.0	0.0	0.0	0.0
18.17915964126587	1781697756.0	1781697756.7546399	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-1.6723922491073608	0.3865477426403223	-18.84417152404785	-15.99715243569378	-19.865768432617188	-18.818901981879847	-22.373004913330078	-20.72330471509041	-22.4631404876709	-16.41167242235171	-22.84865951538086	-19.677645541150486	-22.412517547607422	-18.311498656693104	-4.3079118728637695	-8.683625583342309	0.0	0.0	0.0	0.0
18.17916178703308	1781697756.0	1781697756.754642	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-2.9994711875915527	0.04583424697919205	-19.67120933532715	-16.69428370390169	-21.161104202270508	-20.012769681420007	-24.106130599975586	-22.136042579542302	-22.725309371948242	-16.659565496633977	-23.69312286376953	-20.523267639290093	-23.214902877807617	-19.278452662738495	-5.344033241271973	-10.280065430972574	0.0	0.0	0.0	0.0
18.179163932800293	1781697756.0	1781697756.7546442	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-4.016879081726074	0.10107966397335383	-20.075876235961914	-16.697673889205785	-21.000957489013672	-20.242536943266114	-24.27716827392578	-22.559138324328483	-22.351818084716797	-16.1530149084901	-23.65138053894043	-20.554126325811758	-23.245590209960938	-19.489895562126268	-4.315919399261475	-10.720633433146455	0.0	0.0	0.0	0.0
18.179166078567505	1781697756.0	1781697756.7546463	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-4.100879192352295	0.5730703996326383	-19.37862205505371	-16.299816925742654	-18.875728607177734	-19.89540984709306	-21.980573654174805	-22.431074701913296	-20.93254852294922	-15.12994572713563	-21.896774291992188	-20.157622560443023	-21.529775619506836	-19.350193098924958	-2.233142852783203	-10.090921646289535	0.0	0.0	0.0	0.0
18.17916774749756	1781697756.0	1781697756.754648	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-2.9548699855804443	1.4175407971333271	-16.278759002685547	-15.895407339188255	-14.167648315429688	-19.48655856748074	-16.47203826904297	-22.31634540974002	-17.817392349243164	-13.952151492468085	-17.368799209594727	-19.830141897037542	-16.95857810974121	-19.361007998340902	-0.018685460090637207	-8.609176574270153	0.0	0.0	0.0	0.0
18.17916989326477	1781697756.0	1781697756.75465	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-0.8766820430755615	2.5249094733695188	-10.65116024017334	-15.893357735358874	-7.741776466369629	-19.531835316312822	-9.126822471618652	-22.757844777317807	-13.236173629760742	-13.032639527521042	-10.766486167907715	-20.05231655747306	-10.466251373291016	-19.989788060293694	1.989376425743103	-6.573087586539137	0.0	0.0	0.0	0.0
18.179171562194824	1781697756.0	1781697756.7546518	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	1.3412575721740723	3.7357283202366043	-5.115993022918701	-16.622348572734413	-2.9367682933807373	-20.420614941993065	-4.273862838745117	-24.134456096134468	-9.100605964660645	-12.750326282411244	-5.702433109283447	-21.166592391049132	-6.030067443847656	-21.545069190654274	3.9991681575775146	-4.298725667463033	0.0	0.0	0.0	0.0
