# METADATA
key	value
export_created_at	2026-06-10T15:06:08
record_start_app_timestamp	1781093142.564428
record_end_app_timestamp	1781093163.7466886
record_samples	1500
record_duration_s	21.182260513305664
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781093142.5644324, ""lsl_timestamp"": 9210.4192288}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781093145.587566, ""lsl_timestamp"": 9213.4423622}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781093148.6113043, ""lsl_timestamp"": 9216.4661003}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781093151.653721, ""lsl_timestamp"": 9219.5085155}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781093154.6807096, ""lsl_timestamp"": 9222.5355041}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781093157.7035956, ""lsl_timestamp"": 9225.5583899}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781093160.7269213, ""lsl_timestamp"": 9228.5817176}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 14:49:30"", ""type"": ""EEG"", ""source_id"": ""checkup_149_10.06.2026 14:49:30"", ""uid"": ""b76393ad-4dec-4189-8f95-9556d535c39f"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	6
export_step_total	7
export_step_dac0_f1_hz	12.0
export_step_dac0_f2_hz	14.0
export_step_dac1_f1_hz	32.0
export_step_dac1_f2_hz	34.0
export_step_duration_s	3.0
export_step_records	1500

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
15.187236547470093	1781093157.0	1781093157.7516646	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-32.43891143798828	-2.1959021276818427	19.71005630493164	11.359193881115772	4.632665157318115	5.441535340324661	39.099491119384766	5.796817948933645	62.91503143310547	31.628164412926235	96.6290512084961	45.60171696134479	169.52801513671875	11.705821642593179	0.5511682629585266	-1.1557032419046922	0.0	0.0	0.0	0.0
15.18724274635315	1781093157.0	1781093157.7516708	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-32.2224235534668	-2.2766013812513437	16.513412475585938	8.138977364957112	1.0530717372894287	2.043351052641115	36.06529235839844	2.999770968807468	59.069732666015625	27.954331203176654	93.62740325927734	42.31386677799786	166.31329345703125	9.08469014541066	-0.4169784486293793	-1.9399088502995419	0.0	0.0	0.0	0.0
15.187245845794678	1781093157.0	1781093157.751674	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-32.37053298950195	-2.4119478761369466	13.284621238708496	5.218290390557571	-2.4856960773468018	-1.0333957027742573	33.36003112792969	0.5571169589819469	55.10121154785156	24.563270091010487	90.57168579101562	39.353245046883494	164.3361358642578	6.970241084066222	-1.216071605682373	-2.6513671171898334	0.0	0.0	0.0	0.0
15.18724799156189	1781093157.0	1781093157.751676	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-32.864952087402344	-2.6263446851858747	10.464400291442871	2.865200086960391	-5.426943302154541	-3.4822121812084075	31.400569915771484	-1.2305590108562445	51.62842559814453	21.764204382308332	87.8967056274414	37.065514817941455	163.83148193359375	5.6649970512404435	-1.7575762271881104	-3.218642201141133	0.0	0.0	0.0	0.0
15.187250137329102	1781093157.0	1781093157.7516782	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-33.37002182006836	-2.9181700250570595	8.366279602050781	1.2653404804102442	-7.292553424835205	-5.086360059848686	30.225894927978516	-2.170290002502729	49.001644134521484	19.77109125383405	85.62139892578125	35.68582827376594	163.42950439453125	5.301171203165476	-2.0237724781036377	-3.5861101179527095	0.0	0.0	0.0	0.0
15.187252283096313	1781093157.0	1781093157.7516804	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-33.41818618774414	-3.2551319339052234	7.160702228546143	0.49017479822733306	-7.796069622039795	-5.754476826306555	29.635448455810547	-2.214075968334855	47.31327819824219	18.654412659922492	83.57378387451172	35.27881239238807	161.1018829345703	5.801093704431608	-2.055231809616089	-3.7209166945683263	0.0	0.0	0.0	0.0
15.187253952026367	1781093157.0	1781093157.751682	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-32.85072326660156	-3.5755419495541494	6.920632362365723	0.48157920813245236	-6.965090274810791	-5.536040797947024	29.59178924560547	-1.4735585380940677	46.608489990234375	18.320610175857944	82.01338958740234	35.70725990807772	156.4970703125	6.867385330349116	-1.9076493978500366	-3.617193710185116	0.0	0.0	0.0	0.0
15.187256097793579	1781093157.0	1781093157.7516842	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-32.173702239990234	-3.796718321831643	7.642900466918945	1.0579639760216857	-5.211613178253174	-4.612368826052994	30.50919532775879	-0.2055854895647276	47.033756256103516	18.529292325306454	82.00346374511719	36.645826544403015	152.73963928222656	8.01489190889377	-1.6079107522964478	-3.2969439058706986	0.0	0.0	0.0	0.0
15.187257766723633	1781093157.0	1781093157.7516859	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-32.39139938354492	-3.8314629852812905	9.174670219421387	1.9436831724394321	-3.251646041870117	-3.263959381824584	33.007850646972656	1.233485049522401	48.67171096801758	18.949442829889637	84.8540267944336	37.64746064123794	155.28924560546875	8.656300782527982	-1.1483895778656006	-2.8074933820244756	0.0	0.0	0.0	0.0
15.18726134300232	1781093157.0	1781093157.7516894	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-34.20388412475586	-3.611830175341151	11.081915855407715	2.8182938227972554	-1.8274500370025635	-1.8204305144421051	37.115028381347656	2.459673641512816	51.11476516723633	19.244118336628365	90.68927001953125	38.25485845455433	167.36752319335938	8.241862878733803	-0.533491849899292	-2.215911602980121	0.0	0.0	0.0	0.0
