# METADATA
key	value
export_created_at	2026-06-10T14:29:16
record_start_app_timestamp	1781090930.973691
record_end_app_timestamp	1781090952.1618786
record_samples	1515
record_duration_s	21.18818759918213
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781090930.9736955, ""lsl_timestamp"": 6998.8284919}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781090933.9844124, ""lsl_timestamp"": 7001.8392084}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781090937.0114486, ""lsl_timestamp"": 7004.8662431}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781090940.042587, ""lsl_timestamp"": 7007.8973821}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781090943.065409, ""lsl_timestamp"": 7010.9202038}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781090946.0968657, ""lsl_timestamp"": 7013.9516613}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781090949.1154473, ""lsl_timestamp"": 7016.9702418}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 13:52:36"", ""type"": ""EEG"", ""source_id"": ""checkup_147_10.06.2026 13:52:36"", ""uid"": ""0d826109-735b-40ec-8287-49dfd6e8b343"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	4
export_step_total	7
export_step_dac0_f1_hz	2.0
export_step_dac0_f2_hz	3.0
export_step_dac1_f1_hz	3.0
export_step_dac1_f2_hz	2.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
9.089529991149902	1781090939.0	1781090940.063221	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.796954333782196	0.6447442949858552	10.436576843261719	3.1903945148262776	5.525783538818359	6.231472384709703	-1.2490557432174683	22.776773286242165	11.884683609008789	3.438190757552174	2.5107009410858154	12.760212211997741	-10.37242603302002	20.783516869986823	-3.8272042274475098	-1.4868701824293509	0.0	0.0	0.0	0.0
9.089544773101807	1781090939.0	1781090940.0632358	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.13832412660121918	0.745492815289663	10.409330368041992	3.4321598706521543	3.7710113525390625	5.070243487487341	-3.7312347888946533	21.730797699520984	11.139187812805176	3.19936519377629	0.8724455237388611	12.201778746223633	-13.174081802368164	19.8772013737255	-0.8450130224227905	0.8107355706907069	0.0	0.0	0.0	0.0
9.089548349380493	1781090939.0	1781090940.0632393	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.6274518370628357	0.8439534331430888	10.97728443145752	3.6794647735099635	2.9755029678344727	4.065131527427496	-4.742533206939697	20.90838700911214	10.900079727172852	3.08149551616557	0.5300445556640625	11.786652328678185	-13.997795104980469	19.23295472806031	2.196654796600342	2.7492180322673576	0.0	0.0	0.0	0.0
9.089550971984863	1781090939.0	1781090940.063242	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.604145348072052	0.9512637590158225	12.104121208190918	3.98814318019904	3.333953380584717	3.420089213311667	-3.8187026977539062	20.569463326201728	11.382631301879883	3.2230984349705305	1.4670625925064087	11.687639722544699	-12.8175630569458	19.11543186182611	4.229663848876953	4.054563267308172	0.0	0.0	0.0	0.0
9.089553594589233	1781090939.0	1781090940.0632446	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.18033157289028168	1.085731454324241	13.293722152709961	4.427359198609726	4.36008358001709	3.3186859415551293	-1.58482027053833	20.929911187638126	12.387434005737305	3.7269897498753957	3.036738157272339	12.047956095060462	-10.508270263671875	19.722463355294142	4.664303302764893	4.576146942876521	0.0	0.0	0.0	0.0
9.089556455612183	1781090939.0	1781090940.0632474	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.3864629864692688	1.268887062591667	13.892253875732422	5.068293899628007	5.201157569885254	3.8979186607134566	0.5889108180999756	22.131141187426486	13.435771942138672	4.63965424266181	4.324069976806641	12.958314559112665	-8.30882453918457	21.154682172160797	3.523876667022705	4.312262266394091	0.0	0.0	0.0	0.0
9.08955979347229	1781090939.0	1781090940.0632508	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.7666183114051819	1.5184637128949585	13.596396446228027	5.967260869565476	5.289453983306885	5.221924400714534	1.5675281286239624	24.21520710072099	14.13257122039795	5.938709993102782	4.737311363220215	14.437316053476986	-7.0314555168151855	23.396252602479567	1.320523738861084	3.405003460084829	0.0	0.0	0.0	0.0
9.089561939239502	1781090939.0	1781090940.063253	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.6722039580345154	1.8411637040610926	12.846792221069336	7.147207354883635	4.938453197479248	7.2604869960021565	1.4614014625549316	27.108248982118553	14.553033828735352	7.531780386445873	4.509873867034912	16.418205928822214	-6.4848551750183105	26.30836392777406	-1.2237534523010254	2.1064173991821944	0.0	0.0	0.0	0.0
9.089564085006714	1781090939.0	1781090940.063255	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.011058788746595383	2.228261173633496	12.767631530761719	8.583537034893919	5.389016628265381	9.878737945904994	1.8518532514572144	30.616332362504874	15.343228340148926	9.26867878183243	4.73845100402832	18.74619903515167	-5.5221147537231445	29.637726098953653	-3.4208688735961914	0.7241488423278842	0.0	0.0	0.0	0.0
9.089566469192505	1781090939.0	1781090940.0632575	4	2.0	3.0	3.0	2.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.143507957458496	2.655860963066924	14.531566619873047	10.200750376592815	8.094400405883789	12.844900304374574	4.843989849090576	34.43945784855479	17.32001495361328	10.966763519022019	6.760543346405029	21.19133337216157	-2.7812275886535645	33.04338956976772	-4.752438068389893	-0.4409644497413726	0.0	0.0	0.0	0.0
