# METADATA
key	value
export_created_at	2026-06-10T15:47:25
record_start_app_timestamp	1781095620.325689
record_end_app_timestamp	1781095641.504201
record_samples	1500
record_duration_s	21.17851185798645
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781095620.3256948, ""lsl_timestamp"": 11688.1804916}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781095623.3528202, ""lsl_timestamp"": 11691.2076158}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781095626.3801162, ""lsl_timestamp"": 11694.2349106}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781095629.3986115, ""lsl_timestamp"": 11697.2534067}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781095632.4249587, ""lsl_timestamp"": 11700.2797547}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781095635.4648578, ""lsl_timestamp"": 11703.319653}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781095638.5000339, ""lsl_timestamp"": 11706.354829}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 14:49:30"", ""type"": ""EEG"", ""source_id"": ""checkup_149_10.06.2026 14:49:30"", ""uid"": ""b76393ad-4dec-4189-8f95-9556d535c39f"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	2
export_step_total	7
export_step_dac0_f1_hz	8.0
export_step_dac0_f2_hz	8.0
export_step_dac1_f1_hz	7.0
export_step_dac1_f2_hz	7.0
export_step_duration_s	3.0
export_step_records	1500

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
3.0765788555145264	1781095623.0	1781095623.402268	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.5612518787384033	0.5817771172503932	-52.15642166137695	-17.19081404774873	-49.78168487548828	-15.822188516506099	-69.55048370361328	-29.56830784533751	-58.49188232421875	-20.166090364007918	-57.06866455078125	-16.10367509532537	-50.456336975097656	-16.619148377035664	5.707433223724365	1.1151330762367917	0.0	0.0	0.0	0.0
3.0765864849090576	1781095623.0	1781095623.4022756	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.6251264214515686	0.5786338879160144	-53.4771842956543	-18.87566142980142	-51.03641891479492	-15.79467910397223	-70.63554382324219	-26.318939389954913	-59.7164306640625	-21.4536291120244	-57.43757247924805	-15.573826573711171	-50.554378509521484	-14.145058081424386	5.882987976074219	1.4336225988890063	0.0	0.0	0.0	0.0
3.076589584350586	1781095623.0	1781095623.4022787	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.6097784638404846	0.5449131813630262	-55.025814056396484	-20.244465226091442	-51.648651123046875	-15.30417802581495	-69.30030822753906	-22.477828719462416	-61.039981842041016	-22.400878522822843	-57.46170425415039	-14.70549738106376	-49.66986083984375	-11.242336829673617	6.123178005218506	1.7654190927288835	0.0	0.0	0.0	0.0
3.076592206954956	1781095623.0	1781095623.4022813	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.5269535183906555	0.45569635453683904	-56.25088119506836	-21.00468041470018	-51.01612091064453	-14.017599054389994	-65.44021606445312	-17.752535322295905	-61.903587341308594	-22.71517294013187	-56.67313003540039	-13.258261505066235	-47.28168487548828	-7.720968780056732	6.460198879241943	2.110867855595141	0.0	0.0	0.0	0.0
3.076594352722168	1781095623.0	1781095623.4022834	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.38601696491241455	0.2981435023036689	-56.511680603027344	-20.955685293849374	-48.66172409057617	-11.798138348996567	-59.079593658447266	-12.205398711757915	-61.66360855102539	-22.21450080642873	-54.57197952270508	-11.141256243102553	-42.96235656738281	-3.661706736860675	6.854355812072754	2.4602150919145087	0.0	0.0	0.0	0.0
3.076597213745117	1781095623.0	1781095623.4022863	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.1894035041332245	0.07524071911347072	-55.31110763549805	-20.02284369321682	-44.45835876464844	-8.744323838624938	-50.58922576904297	-6.28989857115959	-59.840274810791016	-20.86084361112044	-50.87582015991211	-8.442665967553927	-36.708160400390625	0.5583503294079646	7.218616962432861	2.793222738030039	0.0	0.0	0.0	0.0
3.076599597930908	1781095623.0	1781095623.4022887	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.06446763873100281	-0.19327683475872587	-52.576480865478516	-18.27058875791584	-38.817691802978516	-5.17588057513443	-41.02840042114258	-0.7763713380738246	-56.44234848022461	-18.76683820267214	-45.857547760009766	-5.41813918093687	-29.326663970947266	4.3239037276989345	7.48665189743042	3.081485204871546	0.0	0.0	0.0	0.0
3.0766022205352783	1781095623.0	1781095623.4022913	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.3699313700199127	-0.4732852355780111	-48.818180084228516	-15.890451329739935	-32.72562789916992	-1.568391063198976	-32.302772521972656	3.4185626989318054	-52.157630920410156	-16.173568608690335	-40.53183364868164	-2.4399451981957387	-22.580575942993164	6.9121294999642435	7.673971652984619	3.293065452855149	0.0	0.0	0.0	0.0
3.076604127883911	1781095623.0	1781095623.4022932	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.6996670365333557	-0.7218443417836573	-44.98720932006836	-13.16538646659286	-27.51738929748535	1.5497970644834431	-26.768949508666992	5.461512551273897	-48.17057800292969	-13.403703532093134	-36.40740966796875	0.08221819953540022	-18.754066467285156	7.666938600188026	7.868459701538086	3.3987418871608126	0.0	0.0	0.0	0.0
3.076606512069702	1781095623.0	1781095623.4022956	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.9974160194396973	-0.8952533311911614	-42.010433197021484	-10.417449956301956	-24.39854621887207	3.716048439440235	-26.22200584411621	4.839007526021172	-45.56733322143555	-10.799918583904036	-34.754024505615234	1.7912211360945716	-19.611358642578125	6.176936436276138	8.13266658782959	3.3788581404404887	0.0	0.0	0.0	0.0
