# METADATA
key	value
export_created_at	2026-06-10T15:54:10
record_start_app_timestamp	1781096025.4414172
record_end_app_timestamp	1781096046.6240938
record_samples	315
record_duration_s	21.182676553726196
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781096025.441424, ""lsl_timestamp"": 12093.2962201}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781096028.4573853, ""lsl_timestamp"": 12096.3121797}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781096031.4966228, ""lsl_timestamp"": 12099.3514178}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781096034.5195117, ""lsl_timestamp"": 12102.3743067}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781096037.5462792, ""lsl_timestamp"": 12105.4010741}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781096040.581717, ""lsl_timestamp"": 12108.4365117}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781096043.6045809, ""lsl_timestamp"": 12111.4593753}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 14:49:30"", ""type"": ""EEG"", ""source_id"": ""checkup_149_10.06.2026 14:49:30"", ""uid"": ""b76393ad-4dec-4189-8f95-9556d535c39f"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	1
export_step_total	7
export_step_dac0_f1_hz	10.0
export_step_dac0_f2_hz	10.0
export_step_dac1_f1_hz	8.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	315

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
2.446821451187134	1781096027.0	1781096027.8882387	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	27862.35546875	5042.786821134768	12898.0791015625	2620.0937836148173	12414.1640625	2464.7699895174264	27656.810546875	5477.317059430048	1149.5357666015625	220.62983867482987	30378.67578125	6007.188743534163	8864.333984375	1747.3526476582003	3716.676513671875	780.622279987152	0.0	0.0	0.0	0.0
2.4468278884887695	1781096027.0	1781096027.888245	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	38609.26171875	10050.455471588952	17800.98828125	4903.868656310434	17167.041015625	4679.640602395788	38242.609375	10407.1959925836	1585.28857421875	425.1854992390206	42015.52734375	11427.231189148175	12239.3544921875	3319.652298117417	5145.73828125	1446.0291071798117	0.0	0.0	0.0	0.0
2.4468305110931396	1781096027.0	1781096027.8882477	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	45125.33203125	14572.374580534897	20770.267578125	6965.513204913348	20046.7734375	6679.266337475735	44653.73046875	14858.035892831771	1850.9727783203125	609.8198937516567	49063.89453125	16320.638117242794	14284.158203125	4739.046393538402	6010.37353515625	2046.8015490263613	0.0	0.0	0.0	0.0
2.4468328952789307	1781096027.0	1781096027.88825	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	46943.61328125	18200.66185979425	21592.626953125	8618.62925650111	20846.728515625	8283.000952382401	46430.828125	18427.70248605483	1927.0484619140625	757.8960868277127	51018.6484375	20245.32660938656	14851.962890625	5877.234129075796	6248.84130859375	2528.668347714623	0.0	0.0	0.0	0.0
2.4468352794647217	1781096027.0	1781096027.8882525	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	45422.1484375	20694.72385774945	20888.83984375	9753.357490588436	20168.201171875	9384.342989522705	44914.84765625	20879.107302858243	1867.5704345703125	859.630579073453	49353.52734375	22940.645754921556	14369.6298828125	6658.601227219041	6042.86083984375	2859.626179527508	0.0	0.0	0.0	0.0
2.4468374252319336	1781096027.0	1781096027.8882546	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	42638.609375	22005.258134986474	19608.724609375	10347.345045560929	18931.0859375	9961.567572520142	42156.41015625	22163.8736021008	1755.812744140625	913.0672643117169	46322.41796875	24353.394209206577	13490.259765625	7067.771766859315	5669.98974609375	3033.13178662125	0.0	0.0	0.0	0.0
2.4468395709991455	1781096027.0	1781096027.8882568	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	40295.61328125	22250.07286870257	18530.49609375	10454.669450659629	17889.029296875	10067.007484963502	39835.1953125	22398.461972558573	1660.3466796875	923.084217854651	43771.4921875	24611.58046285116	12749.0634765625	7141.988163816494	5357.2080078125	3064.8776890781714	0.0	0.0	0.0	0.0
2.4468417167663574	1781096027.0	1781096027.888259	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	39286.88671875	21657.991627788597	18061.98828125	10180.155897647897	17437.158203125	9802.18609989008	38831.1328125	21808.80199406185	1617.697265625	899.0945952454499	42667.94140625	23963.5627942419	12426.923828125	6953.4358670688125	5222.73486328125	2985.3189437909173	0.0	0.0	0.0	0.0
2.4468438625335693	1781096027.0	1781096027.888261	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	39834.765625	20504.575924231864	18303.513671875	9649.940268552587	17673.0859375	9289.312356945531	39360.33203125	20666.840511991566	1637.7989501953125	852.4080974875187	43249.4375	22708.30055079146	12593.6640625	6588.980458637651	5294.5986328125	2831.111520713595	0.0	0.0	0.0	0.0
2.4468460083007812	1781096027.0	1781096027.8882632	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	314.0	True	0.5	40.0	4	True	50.0	30.0	41655.828125	19060.18783628383	19124.734375	8987.668255344486	18471.05078125	8648.2310742191	41140.84765625	19239.25471960908	1710.267333984375	794.0921765856608	45206.27734375	21138.9731237073	13160.443359375	6133.780009779147	5533.72509765625	2638.1944357516813	0.0	0.0	0.0	0.0
