# METADATA
key	value
export_created_at	2026-06-17T15:17:48
record_start_app_timestamp	1781698631.9010775
record_end_app_timestamp	1781698653.0796
record_samples	1534
record_duration_s	21.17852258682251
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781698631.9010835, ""lsl_timestamp"": 5077.7558246}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781698634.9296203, ""lsl_timestamp"": 5080.7843605}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781698637.9443269, ""lsl_timestamp"": 5083.7990672}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781698640.9630547, ""lsl_timestamp"": 5086.8177949}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781698643.9945948, ""lsl_timestamp"": 5089.8493348}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781698647.0293598, ""lsl_timestamp"": 5092.8841}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781698650.06041, ""lsl_timestamp"": 5095.9151498}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	4
export_step_total	7
export_step_dac0_f1_hz	2.0
export_step_dac0_f2_hz	3.0
export_step_dac1_f1_hz	3.0
export_step_dac1_f2_hz	2.0
export_step_duration_s	3.0
export_step_records	1534

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
9.08244252204895	1781698640.0	1781698640.98352	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	18.74857521057129	9.928443386777431	-14.275209426879883	-3.447334195815122	-24.289148330688477	-4.060427949179438	12.198944091796875	1.2452964713792578	-10.337896347045898	-2.6309273435538225	-13.614351272583008	-2.4561011511841255	-44.233158111572266	1.6630254031546783	4.581259727478027	5.858445281326414	0.0	0.0	0.0	0.0
9.08244776725769	1781698640.0	1781698640.9835253	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	17.82105827331543	8.33561071186585	-14.679342269897461	-4.530872134423087	-24.63938331604004	-4.641058962615521	8.720705032348633	-1.8435064578741374	-13.151273727416992	-4.117201792368991	-16.80389976501465	-2.938318118318888	-48.90898513793945	12.289098072241195	7.078248500823975	6.570506002534852	0.0	0.0	0.0	0.0
9.082450151443481	1781698640.0	1781698640.9835277	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	14.045408248901367	7.011438171763669	-11.841477394104004	-5.440596077537209	-19.46622085571289	-5.082032885819024	6.7042083740234375	-4.410674886119274	-11.117631912231445	-5.400879528176841	-12.381159782409668	-3.3193736518554635	-14.76892375946045	21.62779673826508	7.941782474517822	7.109351928252272	0.0	0.0	0.0	0.0
9.082452058792114	1781698640.0	1781698640.9835296	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	7.495659828186035	6.172399122548836	-6.787036418914795	-6.023037636686766	-9.627252578735352	-5.263876351344448	6.219650745391846	-6.05226259741537	-3.657864809036255	-6.303734983669622	0.5771835446357727	-3.4870679206300697	61.34644317626953	28.929792444360924	6.664706230163574	7.361192984832721	0.0	0.0	0.0	0.0
9.082453966140747	1781698640.0	1781698640.9835315	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	15.454757690429688	5.933444245216467	-23.697309494018555	-6.159489745308299	-35.31011962890625	-5.0863785245570154	-4.964174270629883	-6.541867148232204	-20.764266967773438	-6.69718095391366	-22.189754486083984	-3.3489123203079405	-29.88477897644043	33.886564093709545	5.641997814178467	7.275198182097799	0.0	0.0	0.0	0.0
9.08245587348938	1781698640.0	1781698640.9835334	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	15.487406730651855	6.288657332249588	-23.188034057617188	-5.791006908065624	-33.83695983886719	-4.492430136761979	-1.7232437133789062	-5.868574360221084	-20.737485885620117	-6.527407800647599	-21.534210205078125	-2.8546332813785527	-28.676424026489258	36.627703320526514	5.206715106964111	6.871350542658036	0.0	0.0	0.0	0.0
9.082457542419434	1781698640.0	1781698640.983535	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	16.242464065551758	7.120990577904676	-19.907873153686523	-4.9392095311880775	-29.008703231811523	-3.492503101741051	4.985814094543457	-4.226155245329615	-17.769283294677734	-5.831208789434293	-17.77022933959961	-2.015727719987302	-22.282150268554688	37.606897704416646	5.38615608215332	6.2335718355909355	0.0	0.0	0.0	0.0
9.082459449768066	1781698640.0	1781698640.983537	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	17.64500617980957	8.235915021201869	-15.078754425048828	-3.708291413183183	-22.685951232910156	-2.1707061023565193	12.482159614562988	-1.9524422719146315	-12.913345336914062	-4.730276550475291	-12.233283042907715	-0.9073392146670873	-12.55722427368164	37.44055552457859	5.523354530334473	5.491025022233221	0.0	0.0	0.0	0.0
9.08246111869812	1781698640.0	1781698640.9835386	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	19.161787033081055	9.407957129664364	-10.350088119506836	-2.259808514577424	-16.961349487304688	-0.6605519392518022	18.12657356262207	0.5662382450760447	-7.8495612144470215	-3.397945064984179	-6.8677568435668945	0.3562503796875477	-3.5108582973480225	36.767510043556975	4.719167232513428	4.7911548302429745	0.0	0.0	0.0	0.0
9.082463502883911	1781698640.0	1781698640.983541	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	20.04708480834961	10.427856737096189	-6.981074810028076	-0.7657109824399705	-13.184568405151367	0.9035197873704454	20.486549377441406	2.9965218329998313	-4.148348808288574	-2.005946937404235	-3.384845495223999	1.6659565293939609	0.2821657657623291	36.16044164149781	2.752565622329712	4.268119490289088	0.0	0.0	0.0	0.0
9.082465171813965	1781698640.0	1781698640.9835427	4	2.0	3.0	3.0	2.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	511.0	True	0.5	40.0	4	True	50.0	30.0	19.86036491394043	11.140265686951933	-5.449398994445801	0.6427862133051496	-11.684005737304688	2.4373805576468968	19.724327087402344	5.132590702473118	-2.7542731761932373	-0.6708074059715698	-2.655999183654785	2.962051214603653	-3.634702444076538	36.07611518425427	0.492144912481308	4.011416068030757	0.0	0.0	0.0	0.0
