# METADATA
key	value
export_created_at	2026-06-10T15:36:35
record_start_app_timestamp	1781094946.3788598
record_end_app_timestamp	1781094967.5933902
record_samples	1515
record_duration_s	21.21453046798706
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781094946.3788655, ""lsl_timestamp"": 11014.2336615}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781094949.3995361, ""lsl_timestamp"": 11017.2543315}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781094952.4307606, ""lsl_timestamp"": 11020.2855577}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781094955.4657202, ""lsl_timestamp"": 11023.3205178}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781094958.500834, ""lsl_timestamp"": 11026.35563}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781094961.536185, ""lsl_timestamp"": 11029.3909826}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781094964.5503678, ""lsl_timestamp"": 11032.4051628}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 14:49:30"", ""type"": ""EEG"", ""source_id"": ""checkup_149_10.06.2026 14:49:30"", ""uid"": ""b76393ad-4dec-4189-8f95-9556d535c39f"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	6
export_step_total	7
export_step_dac0_f1_hz	12.0
export_step_dac0_f2_hz	14.0
export_step_dac1_f1_hz	32.0
export_step_dac1_f2_hz	34.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
15.165920972824097	1781094961.0	1781094961.5447807	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	29.049232482910156	1.2245567789800849	-113.52217102050781	-14.941472566526134	-74.06586456298828	-9.970275737002837	-93.1689682006836	-11.131120381847124	-108.24022674560547	-14.983399443336607	-7.954820156097412	-6.392902581687545	-58.182186126708984	-10.073885525750518	-2.4155421257019043	1.2908504871042856	0.0	0.0	0.0	0.0
15.165925979614258	1781094961.0	1781094961.5447857	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	29.122175216674805	1.2669643202954126	-113.55157470703125	-14.681837210477049	-74.12480926513672	-9.438909566287663	-93.08919525146484	-10.15391901491632	-108.55899047851562	-15.02120880437731	-8.242480278015137	-5.78584152847302	-58.00401306152344	-8.907537258570475	-3.9003729820251465	-0.45820666954049766	0.0	0.0	0.0	0.0
15.16592788696289	1781094961.0	1781094961.5447876	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	29.353967666625977	1.3282708369729874	-113.83629608154297	-14.54903511939767	-74.08744049072266	-9.051585378698302	-92.75659942626953	-9.39028069571999	-109.20870971679688	-15.173058416283034	-7.922022819519043	-5.264174278804178	-57.319828033447266	-7.934943965734077	-5.5460662841796875	-2.1467468148642403	0.0	0.0	0.0	0.0
15.165929555892944	1781094961.0	1781094961.5447893	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	29.68937110900879	1.4128096932108296	-114.37506866455078	-14.591572350374124	-74.06903076171875	-8.901656795625366	-92.4067611694336	-8.983777375365507	-110.12510681152344	-15.484421103708577	-7.194239616394043	-4.915508709431925	-56.44438171386719	-7.304017375784638	-7.1921067237854	-3.7007171374290317	0.0	0.0	0.0	0.0
15.165931224822998	1781094961.0	1781094961.544791	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	29.844343185424805	1.5175726060490056	-114.31964874267578	-14.804577962589416	-73.69720458984375	-9.029615180729046	-91.66915130615234	-9.002887784027566	-110.43190002441406	-15.952278675653016	-6.33223295211792	-4.8046166498585325	-55.37398910522461	-7.099178644201189	-8.658283233642578	-5.0455153153887204	0.0	0.0	0.0	0.0
15.165932893753052	1781094961.0	1781094961.5447927	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	29.465721130371094	1.6295896159294598	-112.49742889404297	-15.115880811232518	-72.39734649658203	-9.404061072426728	-89.90141296386719	-9.414060167634943	-108.96471405029297	-16.51072897230188	-5.615001678466797	-4.957820782021382	-53.920711517333984	-7.316160355091163	-9.786178588867188	-6.111525372640048	0.0	0.0	0.0	0.0
15.165934801101685	1781094961.0	1781094961.5447946	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	28.510446548461914	1.7237754079816405	-108.80413818359375	-15.38143418927837	-70.2243881225586	-9.912271181662813	-87.20658874511719	-10.068307812802951	-105.62332916259766	-17.024633084394832	-5.316064834594727	-5.351316862961187	-52.2730712890625	-7.848668732524657	-10.502845764160156	-6.8416170091908715	0.0	0.0	0.0	0.0
15.165936470031738	1781094961.0	1781094961.5447962	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	27.541749954223633	1.7633149273981112	-105.32767486572266	-15.398563349055557	-68.5320053100586	-10.368556094733263	-85.2551040649414	-10.712217620642221	-102.4509506225586	-17.299957017822575	-5.694185733795166	-5.9092147538386435	-51.4642333984375	-8.496067937382142	-10.85972785949707	-7.199313451519317	0.0	0.0	0.0	0.0
15.165937900543213	1781094961.0	1781094961.5447977	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	27.551977157592773	1.7053814039497175	-105.70176696777344	-14.946228389778963	-69.54135131835938	-10.547996270566047	-86.74951934814453	-11.03316192235569	-102.99504852294922	-17.120401223317565	-6.902881145477295	-6.51565691643523	-53.04375076293945	-8.999451845522737	-10.992512702941895	-7.176138159068813	0.0	0.0	0.0	0.0
15.165939569473267	1781094961.0	1781094961.5447993	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	29.215627670288086	1.5138025449364745	-112.29743957519531	-13.854616565542297	-74.57218933105469	-10.246649374737917	-93.24058532714844	-10.739819272776092	-109.57936096191406	-16.31336545553786	-8.808971405029297	-7.041273876511886	-57.77140426635742	-9.106028080590558	-10.998270034790039	-6.7966463365874725	0.0	0.0	0.0	0.0
