# METADATA
key	value
export_created_at	2026-06-17T14:22:53
record_start_app_timestamp	1781695315.8142538
record_end_app_timestamp	1781695336.9438405
record_samples	1515
record_duration_s	21.129586696624756
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781695315.8142602, ""lsl_timestamp"": 1761.6690016}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781695318.8304493, ""lsl_timestamp"": 1764.6851889}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781695321.8451302, ""lsl_timestamp"": 1767.6998703}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781695324.8680644, ""lsl_timestamp"": 1770.7228043}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781695327.8908906, ""lsl_timestamp"": 1773.7456307}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781695330.9138038, ""lsl_timestamp"": 1776.768544}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781695333.92846, ""lsl_timestamp"": 1779.7831998}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	5
export_step_total	7
export_step_dac0_f1_hz	25.0
export_step_dac0_f2_hz	29.0
export_step_dac1_f1_hz	12.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
12.099588871002197	1781695327.0	1781695327.9138427	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.6821738481521606	0.24930715149114438	9.802741050720215	0.5608090435097131	23.010114669799805	1.738517649852033	21.464542388916016	2.8213023212116757	5.831466197967529	0.564308786823591	10.245257377624512	3.4148769959743075	7.312270164489746	4.457684236740681	2.889765739440918	-1.852662819603637	0.0	0.0	0.0	0.0
12.099595308303833	1781695327.0	1781695327.913849	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.4358636140823364	-0.009702446031085235	9.796978950500488	-3.8978185143735486	23.548057556152344	-3.3777029349825725	27.652162551879883	-6.147492254145469	4.728444576263428	-4.272724750091031	10.247146606445312	-1.9666364759714154	9.334428787231445	-1.0262221662816553	5.194503307342529	-0.24157982933507782	0.0	0.0	0.0	0.0
12.099597930908203	1781695327.0	1781695327.9138517	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.7641053199768066	-0.20741952235095615	5.874660968780518	-8.047380241571906	18.969280242919922	-8.189648910510435	19.757246017456055	-14.803698802367764	0.16193194687366486	-8.743227148520795	5.655766010284424	-7.011970367270422	5.4495158195495605	-6.21253031702639	7.896262168884277	1.0484533910261915	0.0	0.0	0.0	0.0
12.099600076675415	1781695327.0	1781695327.913854	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.3996548652648926	-0.27691596338540647	-0.575879693031311	-11.526291502958095	10.951760292053223	-12.354209984855936	1.836996078491211	-22.665079478708403	-6.391246795654297	-12.443211187242829	-2.3490796089172363	-11.3340620020857	-3.7695860862731934	-10.725924124340702	9.687931060791016	1.7484505554134593	0.0	0.0	0.0	0.0
12.099602222442627	1781695327.0	1781695327.913856	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.7867727279663086	-0.1733842238628083	-6.789513111114502	-14.04587572742519	2.9372365474700928	-15.596187358328109	-17.000226974487305	-29.25637732474728	-12.268012046813965	-15.058307973874818	-10.527412414550781	-14.615027322505801	-14.438859939575195	-14.231929511387802	9.504730224609375	1.7096359467839861	0.0	0.0	0.0	0.0
12.09960412979126	1781695327.0	1781695327.913858	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.4856057167053223	0.11480030323679466	-10.169170379638672	-15.446150455711146	-1.856826901435852	-17.761950649891645	-28.049972534179688	-34.19710116902787	-15.06905746459961	-16.421106945482812	-15.391181945800781	-16.66525909547206	-21.518924713134766	-16.501954773565295	7.178572654724121	0.9325193686204414	0.0	0.0	0.0	0.0
12.099606275558472	1781695327.0	1781695327.91386	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.5167033672332764	0.5614324742624249	-9.810062408447266	-15.734337823783873	-2.267559289932251	-18.857309550208964	-28.113603591918945	-37.291732169407375	-14.060287475585938	-16.547394076359353	-15.325504302978516	-17.468095205287483	-21.95966148376465	-17.473917098703776	3.5500824451446533	-0.43812860375290646	0.0	0.0	0.0	0.0
12.099608659744263	1781695327.0	1781695327.9138625	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.3526994585990906	1.106586036639994	-6.938159465789795	-15.089308653136303	0.37808436155319214	-19.050663540277498	-20.904321670532227	-38.57846102534124	-10.5702486038208	-15.636088694981945	-11.556890487670898	-17.189462118126723	-16.678133010864258	-17.27892120060605	-0.0663457065820694	-2.1508643087931425	0.0	0.0	0.0	0.0
12.099610328674316	1781695327.0	1781695327.9138641	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.4406685531139374	1.669258934019817	-3.8426270484924316	-13.825168144163356	3.5444843769073486	-18.633235248051545	-13.754776954650879	-38.311557801664605	-6.9928998947143555	-14.028063540975682	-7.162415981292725	-16.14252435112089	-9.812225341796875	-16.21548049459702	-2.573566198348999	-3.9072770406204715	0.0	0.0	0.0	0.0
12.099612474441528	1781695327.0	1781695327.9138663	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.6396659016609192	2.165560944932764	-2.0447919368743896	-12.321620890015721	5.484314441680908	-17.944891434344946	-11.985085487365723	-36.8856967475904	-5.022422790527344	-12.133059075053522	-4.752716541290283	-14.714647851815025	-5.668214321136475	-14.675420185526225	-3.532325029373169	-5.4274978510579865	0.0	0.0	0.0	0.0
