# METADATA
key	value
export_created_at	2026-06-17T14:34:01
record_start_app_timestamp	1781696000.945418
record_end_app_timestamp	1781696022.1427674
record_samples	1530
record_duration_s	21.197349548339844
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696000.9454265, ""lsl_timestamp"": 2446.8001687}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781696003.9660447, ""lsl_timestamp"": 2449.8207879}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696007.0008373, ""lsl_timestamp"": 2452.8555773}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781696010.0278213, ""lsl_timestamp"": 2455.8825615}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696013.067112, ""lsl_timestamp"": 2458.9218525}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781696016.0941248, ""lsl_timestamp"": 2461.948865}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781696019.117152, ""lsl_timestamp"": 2464.9718927}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	7
export_step_total	7
export_step_dac0_f1_hz	55.0
export_step_dac0_f2_hz	22.0
export_step_dac1_f1_hz	10.0
export_step_dac1_f2_hz	4.0
export_step_duration_s	3.0
export_step_records	1530

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
18.184685707092285	1781696019.0	1781696019.1301036	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-49.792274475097656	-308.01113695241037	-3.4611313343048096	-5.270669522719148	-0.1925799548625946	-4.9096201466676614	-1.9025969505310059	-3.6175135964725023	-0.8781151175498962	-6.386301304596328	-0.7664728164672852	-6.586403522559678	1.8908281326293945	-3.4801672010382623	4.693379878997803	2.8133538548271977	0.0	0.0	0.0	0.0
18.184691190719604	1781696019.0	1781696019.130109	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-49.34148025512695	-309.6234291336263	-4.896789073944092	-4.866205114259618	-1.0281249284744263	-4.121288914302196	-1.7759426832199097	-1.9626175651383544	-4.287182331085205	-6.353991271930212	-2.5869898796081543	-6.30662105666383	1.9888800382614136	-2.8950765697572054	3.6753530502319336	1.6361089866684178	0.0	0.0	0.0	0.0
18.184693574905396	1781696019.0	1781696019.1301115	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-48.944942474365234	-311.266738621193	-4.707705020904541	-4.78824378940922	-0.10398243367671967	-3.68903940802106	0.5495941638946533	-0.7601590482561869	-5.122686386108398	-6.61001464264518	-2.25195050239563	-6.361311338477121	3.465871572494507	-2.6621808535702303	2.1856064796447754	0.5683926080431845	0.0	0.0	0.0	0.0
18.18469548225403	1781696019.0	1781696019.1301134	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-48.59119415283203	-312.9070986420368	-2.228912115097046	-5.156858677677281	2.827845811843872	-3.7556716744601304	4.667602062225342	-0.22914388087643597	-2.2653632164001465	-7.252107436543906	0.6829936504364014	-6.858386462637785	6.214890956878662	-2.907989864354285	1.1649830341339111	-0.2711940063198499	0.0	0.0	0.0	0.0
18.184697151184082	1781696019.0	1781696019.130115	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-48.25056076049805	-314.5165717540784	1.2375742197036743	-5.966882686426365	6.196969509124756	-4.329288178028143	8.378174781799316	-0.4174037039093452	2.573096990585327	-8.272497095383189	4.4410481452941895	-7.7766801577284	8.592300415039062	-3.6085727223788875	0.9747827649116516	-0.7867250652992119	0.0	0.0	0.0	0.0
18.184699058532715	1781696019.0	1781696019.130117	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-47.908103942871094	-316.085735212451	3.032028913497925	-7.078816232772378	7.4628143310546875	-5.274962707488267	9.020692825317383	-1.1879931661397876	5.7171406745910645	-9.545596662015045	6.017587661743164	-8.961132593978085	8.388689994812012	-4.589060813998416	1.339825987815857	-0.9188027247319976	0.0	0.0	0.0	0.0
18.18470072746277	1781696019.0	1781696019.1301186	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-47.580116271972656	-317.62838647693405	0.864507794380188	-8.23653416961327	4.771430015563965	-6.336624276169604	5.249780178070068	-2.2474921727965236	3.927373170852661	-10.835637398373416	3.1420044898986816	-10.146317339476576	4.408890247344971	-5.563175102650616	1.7337628602981567	-0.65420564202583	0.0	0.0	0.0	0.0
18.18470287322998	1781696019.0	1781696019.1301208	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-47.29925537109375	-319.1764283126155	-5.460465908050537	-9.117154003424108	-1.6527941226959229	-7.192264469000857	-1.9478697776794434	-3.2170259804964827	-3.26021409034729	-11.835653789239426	-4.068207740783691	-11.012858877278465	-2.438948631286621	-6.208889439764451	1.9210076332092285	-0.029303285244520347	0.0	0.0	0.0	0.0
18.184704542160034	1781696019.0	1781696019.1301224	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-47.08183670043945	-320.76681730777597	-13.51063346862793	-9.410730091396292	-9.298004150390625	-7.537173125616122	-9.618718147277832	-3.735193668588893	-12.877469062805176	-12.241448714920885	-12.826424598693848	-11.27266217030554	-9.314577102661133	-6.265423554059731	2.1571319103240967	0.8737939140509804	0.0	0.0	0.0	0.0
18.184706449508667	1781696019.0	1781696019.1301243	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-46.905094146728516	-322.42571859379046	-19.233503341674805	-8.913244296352957	-14.43006420135498	-7.17656807711299	-14.21162223815918	-3.5675991967827994	-19.942935943603516	-11.846435583577188	-18.86050796508789	-10.763756559596494	-12.745601654052734	-5.6250283617492265	2.93021559715271	1.9384242425848315	0.0	0.0	0.0	0.0
