# METADATA
key	value
export_created_at	2026-06-17T14:51:15
record_start_app_timestamp	1781697034.8151505
record_end_app_timestamp	1781697056.009574
record_samples	1515
record_duration_s	21.19442343711853
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781697034.8151574, ""lsl_timestamp"": 3480.6698988}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781697037.8353302, ""lsl_timestamp"": 3483.6900698}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781697040.8581522, ""lsl_timestamp"": 3486.7128922}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781697043.8853722, ""lsl_timestamp"": 3489.7401125}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781697046.908173, ""lsl_timestamp"": 3492.7629131}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781697049.9514635, ""lsl_timestamp"": 3495.8062037}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781697052.9785807, ""lsl_timestamp"": 3498.8333208}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	5
export_step_total	7
export_step_dac0_f1_hz	25.0
export_step_dac0_f2_hz	29.0
export_step_dac1_f1_hz	12.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
12.106392860412598	1781697046.0	1781697046.9215434	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.2501089572906494	-0.20361520526724525	1.9422807693481445	-4.141452461287942	15.502197265625	-1.8111551838393691	17.813098907470703	6.247042713381336	-0.17911489307880402	-3.7642454294420413	11.616758346557617	-0.5591428148132965	4.061339378356934	-0.34605066878233137	-1.0344637632369995	2.2734219218443115	0.0	0.0	0.0	0.0
12.106399059295654	1781697046.0	1781697046.9215496	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.1547328233718872	0.5694247447652442	4.423844814300537	-3.2446526035472054	18.060028076171875	-0.9884619493673563	20.757516860961914	8.789935414850426	2.8010809421539307	-2.5029795441124465	14.459521293640137	0.5018954299342049	7.632437705993652	2.7562025710043834	-2.291264533996582	2.315644879936774	0.0	0.0	0.0	0.0
12.106401681900024	1781697046.0	1781697046.9215522	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.1604212522506714	1.2797445093829214	5.839400291442871	-2.562243710655765	19.03558921813965	-0.4142821245656375	22.542621612548828	11.085069988850377	4.66093635559082	-1.5066336923769061	15.618786811828613	1.3023871699392662	9.748991966247559	5.508300047513955	-2.4070515632629395	2.437019872861446	0.0	0.0	0.0	0.0
12.106404304504395	1781697046.0	1781697046.9215548	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.3678412437438965	1.8609797636391456	5.8788981437683105	-2.243248479517351	18.415010452270508	-0.2937257219946617	23.462223052978516	12.868332725458478	4.858951568603516	-0.9727766732235816	15.102771759033203	1.6239899232696862	10.681325912475586	7.585503397003781	-1.3222142457962036	2.700008982791927	0.0	0.0	0.0	0.0
12.106406211853027	1781697046.0	1781697046.9215567	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.3666762709617615	2.2622334771070696	4.820859909057617	-2.358609072627056	16.825183868408203	-0.751388950117156	24.196107864379883	13.926182656045922	3.6471986770629883	-1.0068892212305118	13.626029968261719	1.3326241643476635	11.501869201660156	8.742697266416378	0.3006240129470825	3.1418968808904943	0.0	0.0	0.0	0.0
12.10640835762024	1781697046.0	1781697046.9215589	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.07008284330368042	2.454117087140223	3.3560969829559326	-2.8883154377430245	15.10069751739502	-1.8092946937309682	25.167383193969727	14.132791728474732	1.9137330055236816	-1.6037077634316381	12.123393058776855	0.40370967236126376	13.090985298156738	8.857937184093464	1.5741944313049316	3.771288954904185	0.0	0.0	0.0	0.0
12.106410264968872	1781697046.0	1781697046.9215608	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.19096139073371887	2.4309022216983207	2.0731892585754395	-3.7275430295484515	13.65312671661377	-3.3831197166873945	26.08047103881836	13.482040881404329	0.5056262612342834	-2.6502248186861053	11.034372329711914	-1.07090100938645	15.101519584655762	7.967986933545319	2.044759511947632	4.569871720518779	0.0	0.0	0.0	0.0
12.106412172317505	1781697046.0	1781697046.9215627	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.24246640503406525	2.209286257745071	1.0196387767791748	-4.7099221118771	12.151676177978516	-5.297810614818547	26.017309188842773	12.103465306971394	-0.45317715406417847	-3.948924042618404	9.934557914733887	-2.8964144716811018	15.836085319519043	6.282974278240274	2.02988862991333	5.4968807609059676	0.0	0.0	0.0	0.0
12.106413841247559	1781697046.0	1781697046.9215643	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.18330956995487213	1.8250320688409793	-0.19749538600444794	-5.643660373887525	9.901681900024414	-7.321547840954173	24.135183334350586	10.250928712179588	-1.5801830291748047	-5.257257869415673	7.964254856109619	-4.809331961226527	13.422139167785645	4.1657057603759435	2.343482494354248	6.494387875381933	0.0	0.0	0.0	0.0
12.10641598701477	1781697046.0	1781697046.9215665	5	25.0	29.0	12.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.27832287549972534	1.3286470443417884	-1.753108024597168	-6.354603470674075	6.73178243637085	-9.21437289888116	20.521142959594727	8.257491301599988	-3.427131414413452	-6.337657970329518	4.857417583465576	-6.529959022440038	7.602571487426758	2.066764447366201	3.6010749340057373	7.493247826704759	0.0	0.0	0.0	0.0
