# METADATA
key	value
export_created_at	2026-06-10T15:44:55
record_start_app_timestamp	1781095464.7766092
record_end_app_timestamp	1781095485.9692488
record_samples	1515
record_duration_s	21.192639589309692
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781095464.7766156, ""lsl_timestamp"": 11532.6314122}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781095467.7966166, ""lsl_timestamp"": 11535.6514112}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781095470.8400648, ""lsl_timestamp"": 11538.6948596}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781095473.8628685, ""lsl_timestamp"": 11541.7176633}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781095476.890002, ""lsl_timestamp"": 11544.744797}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781095479.9169347, ""lsl_timestamp"": 11547.7717299}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781095482.939765, ""lsl_timestamp"": 11550.7945601}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 14:49:30"", ""type"": ""EEG"", ""source_id"": ""checkup_149_10.06.2026 14:49:30"", ""uid"": ""b76393ad-4dec-4189-8f95-9556d535c39f"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	1
export_step_total	7
export_step_dac0_f1_hz	10.0
export_step_dac0_f2_hz	10.0
export_step_dac1_f1_hz	8.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
0.059619903564453125	1781095464.0	1781095464.836229	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-217.38987731933594	-11.682710903844173	-640.9747924804688	-41.80269927140536	-616.887451171875	-45.23474884933694	2.7172603607177734	-7.332189159281117	-578.710693359375	-36.06047183265421	-607.7972412109375	-39.115724261156785	-375.1798095703125	-27.735275709236923	-13.504026412963867	-0.705691324080637	0.0	0.0	0.0	0.0
0.05962562561035156	1781095464.0	1781095464.8362348	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-217.98570251464844	-12.777830000094896	-641.71142578125	-45.807191498765214	-616.4088134765625	-48.32295954120053	5.541615009307861	-3.846015982795082	-578.447265625	-39.014324239373785	-607.6575317382812	-42.48037094982184	-374.468017578125	-29.260531160061166	-13.335653305053711	-1.221028388643663	0.0	0.0	0.0	0.0
0.05962777137756348	1781095464.0	1781095464.836237	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-219.8759002685547	-13.932514858539548	-647.2801513671875	-49.9816696976754	-620.815185546875	-51.539240682592556	8.7205171585083	-0.007467506529864573	-582.636962890625	-42.21804593401277	-612.3987426757812	-46.00987313754299	-376.64801025390625	-30.609569772790838	-13.592466354370117	-1.7619858434862772	0.0	0.0	0.0	0.0
0.05963015556335449	1781095464.0	1781095464.8362393	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-222.70359802246094	-15.056049154699922	-656.5947265625	-54.01831751270918	-629.1273803710938	-54.5702759211078	12.179048538208008	4.342764000859914	-590.494140625	-45.469278407940635	-621.0673828125	-49.42160638661403	-381.00408935546875	-31.39185990531065	-14.258078575134277	-2.313678785290437	0.0	0.0	0.0	0.0
0.05963253974914551	1781095464.0	1781095464.8362417	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-224.35716247558594	-16.002107993219354	-663.0811157226562	-57.42731235402015	-634.9535522460938	-56.95329225004416	15.982242584228516	9.146198103875319	-596.236328125	-48.37023980285948	-627.3406372070312	-52.27002354598378	-383.48895263671875	-31.226998505398765	-15.12243366241455	-2.833577656543002	0.0	0.0	0.0	0.0
0.05963444709777832	1781095464.0	1781095464.8362436	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-222.10665893554688	-16.568891481474804	-658.1162719726562	-59.55153639978058	-629.8062744140625	-58.09962631369176	20.311996459960938	14.084001968100752	-592.1188354492188	-50.335335265554924	-622.8129272460938	-53.966035542349765	-378.7471008300781	-29.794512435146586	-15.851299285888672	-3.2545501327701913	0.0	0.0	0.0	0.0
0.059636592864990234	1781095464.0	1781095464.8362458	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-215.35475158691406	-16.50814440002423	-639.3755493164062	-59.61928501545131	-611.2347412109375	-57.35013177852589	25.170454025268555	18.58568591701511	-575.9373168945312	-50.64135722081107	-605.0686645507812	-53.83112643491193	-365.1692199707031	-26.883359241479425	-16.195419311523438	-3.49712844013053	0.0	0.0	0.0	0.0
0.05963873863220215	1781095464.0	1781095464.836248	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-207.8455047607422	-15.551169945059124	-617.6212768554688	-56.85005386377491	-589.5188598632812	-54.073840165341416	29.954713821411133	21.89177999975891	-557.1854248046875	-48.532677905972996	-584.3202514648438	-51.1979549343358	-349.1445007324219	-22.44135876840239	-16.192951202392578	-3.4881244364909207	0.0	0.0	0.0	0.0
0.05964040756225586	1781095464.0	1781095464.8362496	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-206.51744079589844	-13.464284693060375	-613.4620361328125	-50.63885813980612	-584.6741333007812	-47.83210024734153	33.26901626586914	23.164987893925794	-554.212890625	-43.40124121328022	-580.4098510742188	-45.57927330121724	-343.36688232421875	-16.63456412514696	-16.157594680786133	-3.1813279264914947	0.0	0.0	0.0	0.0
0.05964255332946777	1781095464.0	1781095464.8362517	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-216.2599334716797	-10.13939097035197	-641.77490234375	-40.82619032340062	-611.440673828125	-38.61512486125961	33.30162048339844	21.635255930401435	-580.2652587890625	-35.04358304594882	-607.8680419921875	-36.91095948575295	-357.62750244140625	-9.922972089923217	-16.37505531311035	-2.575493990857247	0.0	0.0	0.0	0.0
