# METADATA
key	value
export_created_at	2026-06-10T16:03:49
record_start_app_timestamp	1781096604.2018707
record_end_app_timestamp	1781096625.390721
record_samples	1515
record_duration_s	21.18885040283203
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781096604.2018757, ""lsl_timestamp"": 115.0629569}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781096607.229269, ""lsl_timestamp"": 118.0903474}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781096610.256182, ""lsl_timestamp"": 121.1172594}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781096613.2790704, ""lsl_timestamp"": 124.1401479}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781096616.3020031, ""lsl_timestamp"": 127.1630803}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781096619.3289952, ""lsl_timestamp"": 130.1900718}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781096622.3518002, ""lsl_timestamp"": 133.2128774}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 16:02:51"", ""type"": ""EEG"", ""source_id"": ""checkup_151_10.06.2026 16:02:51"", ""uid"": ""d5530522-49ac-4767-9a8b-002ba3377ac4"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	2
export_step_total	7
export_step_dac0_f1_hz	8.0
export_step_dac0_f2_hz	8.0
export_step_dac1_f1_hz	7.0
export_step_dac1_f2_hz	7.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
3.067967176437378	1781096607.0	1781096607.2698379	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	3.8806605339050293	-0.4724666897121558	-18.373125076293945	0.5676157532458598	-16.83771514892578	0.37657675321014794	-19.022403717041016	2.8187838411657524	-27.3776798248291	-4.67574017216319	-7.506644248962402	3.625629027160304	-20.624475479125977	3.940661331691306	-4.78914737701416	-0.1478484543635319	0.0	0.0	0.0	0.0
3.067971706390381	1781096607.0	1781096607.2698424	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	3.2320303916931152	-1.1785298591303675	-22.989727020263672	-1.9800765895432362	-21.703968048095703	-3.4047949299562066	-23.241146087646484	-1.501669118134202	-32.017887115478516	-7.372904693670668	-11.857901573181152	0.018402477501327508	-23.694963455200195	0.4840322759374769	-5.853519916534424	-1.993345708287639	0.0	0.0	0.0	0.0
3.0679738521575928	1781096607.0	1781096607.2698445	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	2.1170575618743896	-1.862019952207129	-25.591960906982422	-4.148149793879161	-25.258630752563477	-6.790674436592877	-26.40003776550293	-5.533319450671703	-34.964202880859375	-9.757614449421407	-14.954923629760742	-3.229610436641477	-25.845272064208984	-2.8124276113611772	-6.736230850219727	-3.566968636215116	0.0	0.0	0.0	0.0
3.0679757595062256	1781096607.0	1781096607.2698464	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.0419524908065796	-2.5009094272249084	-26.479585647583008	-5.602611072472382	-27.646554946899414	-9.409641387988206	-29.331727981567383	-8.977164246109147	-36.387020111083984	-11.55501912952098	-17.123409271240234	-5.8055331009476845	-28.159618377685547	-5.734798225643232	-7.916504859924316	-4.61969320966709	0.0	0.0	0.0	0.0
3.0679776668548584	1781096607.0	1781096607.2698483	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.4863462746143341	-3.080702936544906	-26.160877227783203	-6.137995721990114	-29.002656936645508	-11.005002762094813	-32.43898010253906	-11.584578628327572	-36.566993713378906	-12.603313476698947	-18.751995086669922	-7.494051365246852	-31.108015060424805	-8.080335544458544	-9.541616439819336	-4.970164584321047	0.0	0.0	0.0	0.0
3.0679805278778076	1781096607.0	1781096607.2698512	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.5768561363220215	-3.59474544690609	-24.95937156677246	-5.713398422771503	-29.231534957885742	-11.47562681692269	-35.28498458862305	-13.190132470721212	-35.6206169128418	-12.880463500848009	-19.912059783935547	-8.210112938303187	-34.111820220947266	-9.684674256653976	-10.959309577941895	-4.5369070396385585	0.0	0.0	0.0	0.0
3.0679821968078613	1781096607.0	1781096607.2698529	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.9748779535293579	-4.040964336727337	-22.954557418823242	-4.454581970778183	-28.144371032714844	-10.888553399353881	-36.869346618652344	-13.737114299085409	-33.676185607910156	-12.497657031419992	-20.25389862060547	-8.010968980891663	-35.95021057128906	-10.449611317912458	-10.976652145385742	-3.359659607538738	0.0	0.0	0.0	0.0
3.067984104156494	1781096607.0	1781096607.2698548	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.0903325080871582	-4.41654486949738	-20.24705696105957	-2.6222835049081357	-25.824901580810547	-9.460085262056605	-36.38370132446289	-13.287580597376826	-31.278257369995117	-11.662901781998464	-19.266986846923828	-7.083567603141086	-35.728179931640625	-10.362518994710413	-8.72964859008789	-1.6010505116696696	0.0	0.0	0.0	0.0
3.0679855346679688	1781096607.0	1781096607.2698562	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.50810706615448	-4.713455953226395	-17.240272521972656	-0.5539804710313909	-22.848276138305664	-7.508663839864195	-33.87104034423828	-12.010552662261336	-29.46268653869629	-10.625955214728952	-16.74703598022461	-5.7069601444445865	-33.64891052246094	-9.499601711747115	-4.501357555389404	0.4775037167228559	0.0	0.0	0.0	0.0
3.0679874420166016	1781096607.0	1781096607.2698581	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.6763005256652832	-4.917704013469584	-14.708341598510742	1.4080870116919364	-20.162858963012695	-5.389214587102153	-30.33786964416504	-10.14727300859167	-29.271982192993164	-9.619798235235416	-13.250985145568848	-4.194642305506143	-30.97640037536621	-8.009969916147325	0.24534256756305695	2.564693850576079	0.0	0.0	0.0	0.0
3.067988872528076	1781096607.0	1781096607.2698596	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.8720214366912842	-5.013372355222286	-13.41596794128418	2.9869621304506953	-18.548173904418945	-3.423056807975125	-27.12238121032715	-7.959671439069451	-30.847503662109375	-8.812901472120682	-10.077810287475586	-2.8277837436409645	-29.023792266845703	-6.083903584515275	3.6802189350128174	4.362938728457076	0.0	0.0	0.0	0.0
3.06799054145813	1781096607.0	1781096607.2698612	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.3646445274353027	-4.989765154426502	-13.519309043884277	4.024071028098138	-18.009191513061523	-1.83835506267752	-24.943382263183594	-5.674334921070654	-32.811771392822266	-8.281079311527673	-8.661025047302246	-1.7948368583289736	-27.89434814453125	-3.9136497253932654	4.710754871368408	5.6498456402524715	0.0	0.0	0.0	0.0
3.0679922103881836	1781096607.0	1781096607.269863	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.7784923315048218	-4.8479702714553	-14.201010704040527	4.504687275806661	-17.57790756225586	-0.7330473546195609	-23.32403564453125	-3.436500004122912	-32.610435485839844	-8.000449126713615	-9.63763427734375	-1.1533041272255802	-26.03041648864746	-1.6565578147881992	3.5698466300964355	6.319857120046728	0.0	0.0	0.0	0.0
3.0679938793182373	1781096607.0	1781096607.2698646	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.3174418807029724	-4.603270162625726	-14.001016616821289	4.55187146202764	-15.853175163269043	-0.06647030405105572	-20.917884826660156	-1.2860141155074567	-27.929229736328125	-7.857817053197583	-12.28574275970459	-0.8240422773441568	-21.214000701904297	0.5913248674767335	1.5378221273422241	6.394667117066026	0.0	0.0	0.0	0.0
3.067995309829712	1781096607.0	1781096607.269866	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.3733737468719482	-4.282184380684556	-11.820738792419434	4.392044501054363	-12.081450462341309	0.3202865093936446	-16.65452766418457	0.8387437149024217	-18.399991989135742	-7.674239626857491	-14.872381210327148	-0.6187818242161144	-12.569425582885742	2.805819258039058	0.03896569460630417	6.001655429981359	0.0	0.0	0.0	0.0
3.0679969787597656	1781096607.0	1781096607.2698677	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.7904150485992432	-3.916132259437356	-14.291345596313477	4.300666864174746	-16.623611450195312	0.6603803483737453	-17.553590774536133	3.0699828907960094	-31.035633087158203	-7.23996737537317	-9.872934341430664	-0.2916832728854302	-19.015953063964844	5.026566976728281	-1.99886953830719	5.33000678605619	0.0	0.0	0.0	0.0
3.0679986476898193	1781096607.0	1781096607.2698693	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.2276357412338257	-3.535654048941542	-13.578198432922363	4.539454822506414	-15.804327964782715	1.202644456482283	-15.712882041931152	5.560033283570572	-29.3671875	-6.359392926246833	-9.320884704589844	0.3997004672344569	-16.791410446166992	7.331085296291335	-1.2767596244812012	4.580102883327154	0.0	0.0	0.0	0.0
3.068000316619873	1781096607.0	1781096607.269871	2	8.0	8.0	7.0	7.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.24385115504264832	-3.1684185252347867	-12.45837116241455	5.297533225471606	-14.367217063903809	2.1505862307763146	-13.055390357971191	8.423534857025743	-27.144960403442383	-4.900077902493474	-8.01904582977295	1.6380847885352572	-13.910735130310059	9.796863250784922	-0.39266496896743774	3.9213543629462766	0.0	0.0	0.0	0.0
