# METADATA
key	value
export_created_at	2026-06-10T14:06:28
record_start_app_timestamp	1781089559.6753135
record_end_app_timestamp	1781089580.8590665
record_samples	1530
record_duration_s	21.18375301361084
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781089559.6753209, ""lsl_timestamp"": 5627.5301176}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781089562.7077363, ""lsl_timestamp"": 5630.5625308}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781089565.730601, ""lsl_timestamp"": 5633.5853956}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781089568.7576094, ""lsl_timestamp"": 5636.6124043}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781089571.78473, ""lsl_timestamp"": 5639.639525}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781089574.807453, ""lsl_timestamp"": 5642.6622478}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781089577.8344069, ""lsl_timestamp"": 5645.6892017}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 13:52:36"", ""type"": ""EEG"", ""source_id"": ""checkup_147_10.06.2026 13:52:36"", ""uid"": ""0d826109-735b-40ec-8287-49dfd6e8b343"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	5
export_step_total	7
export_step_dac0_f1_hz	25.0
export_step_dac0_f2_hz	29.0
export_step_dac1_f1_hz	12.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1530

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
12.148511171340942	1781089571.0	1781089571.8238246	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	6.262684345245361	1.1033056894226927	-15.194018363952637	-10.18510888735276	-9.243913650512695	-6.39597194135902	-9.049013137817383	-5.191525319627363	-3.652334690093994	-6.423459007951852	-5.790305137634277	-5.924102659468761	-8.167959213256836	-5.809984737493568	-10.29343032836914	-2.4111712252184954	0.0	0.0	0.0	0.0
12.148517847061157	1781089571.0	1781089571.8238313	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	5.141464710235596	-0.8762784608482328	-17.084135055541992	-10.77143841577707	-11.768609046936035	-6.446097243438464	-13.061702728271484	-4.340596712968813	-5.393110752105713	-6.686744524171843	-8.89592170715332	-6.064332536234767	-12.53164005279541	-4.904104434209313	-11.339482307434082	-2.2991063981860314	0.0	0.0	0.0	0.0
12.148520946502686	1781089571.0	1781089571.8238344	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	3.6078548431396484	-2.6729455758939618	-18.144685745239258	-11.373819349057177	-12.851555824279785	-6.50253248691084	-14.307978630065918	-3.4966382961260396	-6.092219829559326	-6.962692600495884	-10.216768264770508	-6.1963164718023505	-13.750605583190918	-3.981089092506049	-11.892969131469727	-2.1209555051466538	0.0	0.0	0.0	0.0
12.148522853851318	1781089571.0	1781089571.8238363	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.8182668685913086	-4.118615264427058	-18.286415100097656	-12.017106561538146	-12.303016662597656	-6.617107035170018	-12.423766136169434	-2.7353643837423265	-5.730213165283203	-7.279875480580185	-9.568075180053711	-6.366842579968554	-11.594086647033691	-3.131860423893198	-11.266926765441895	-1.8314487458951103	0.0	0.0	0.0	0.0
12.14852523803711	1781089571.0	1781089571.8238387	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.04246680811047554	-5.085211602326451	-17.869632720947266	-12.726977979891952	-10.664816856384277	-6.867452194327445	-8.283843994140625	-2.195997599787511	-4.873335361480713	-7.671726573463457	-7.674943923950195	-6.657786719714532	-7.284103870391846	-2.5194190720904563	-9.586714744567871	-1.4221426945714588	0.0	0.0	0.0	0.0
12.148527383804321	1781089571.0	1781089571.8238409	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.3537342548370361	-5.504867845169653	-17.38391876220703	-13.517759246317032	-8.883752822875977	-7.337342238184532	-3.6107523441314697	-2.053136727483355	-4.230362415313721	-8.165083084929126	-5.6841254234313965	-7.165302473672849	-2.772184133529663	-2.343473139109037	-7.641898155212402	-0.9235209815249606	0.0	0.0	0.0	0.0
12.148529291152954	1781089571.0	1781089571.8238428	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.9722613096237183	-5.38451794783893	-17.19607925415039	-14.376315861829138	-7.8633317947387695	-8.082580547164486	-0.32850170135498047	-2.45510361025941	-4.223065376281738	-8.764207449813963	-4.5854172706604	-7.961129686788732	0.17427758872509003	-2.7700746026227008	-6.312129974365234	-0.3950030182105503	0.0	0.0	0.0	0.0
12.148531436920166	1781089571.0	1781089571.823845	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.4890921115875244	-4.8091485089691774	-17.604337692260742	-15.250249720498951	-8.219205856323242	-9.096721483508448	0.013965293765068054	-3.4540807993942404	-4.926164627075195	-9.438017903489992	-4.974179267883301	-9.052044475054894	0.4581851065158844	-3.8539298966150395	-6.051788806915283	0.09183611154171392	0.0	0.0	0.0	0.0
12.148533582687378	1781089571.0	1781089571.823847	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.17731863260269165	-3.929311800932931	-18.987268447875977	-16.04899564712163	-10.226673126220703	-10.29303300643122	-3.278881311416626	-4.959580662542429	-6.288599967956543	-10.118231433269	-7.092106342315674	-10.356100007720974	-2.278964042663574	-5.486678596783864	-6.727895259857178	0.4698071271753767	0.0	0.0	0.0	0.0
12.148536205291748	1781089571.0	1781089571.8238497	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	2.6987431049346924	-2.932540885866504	-21.579872131347656	-16.66221318132926	-13.70666217803955	-11.513775982982882	-9.592926025390625	-6.73894306355499	-8.214795112609863	-10.712155587377078	-10.768054008483887	-11.708678561092063	-7.5912885665893555	-7.3960493605771065	-7.806132793426514	0.6872419237931018	0.0	0.0	0.0	0.0
