# METADATA
key	value
export_created_at	2026-06-10T15:23:00
record_start_app_timestamp	1781094154.470426
record_end_app_timestamp	1781094175.6815798
record_samples	1515
record_duration_s	21.211153745651245
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781094154.4704323, ""lsl_timestamp"": 10222.325229}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781094157.4870331, ""lsl_timestamp"": 10225.3418276}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781094160.5181177, ""lsl_timestamp"": 10228.3729125}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781094163.544896, ""lsl_timestamp"": 10231.3996906}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781094166.5718484, ""lsl_timestamp"": 10234.4266433}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781094169.6153002, ""lsl_timestamp"": 10237.4700954}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781094172.638276, ""lsl_timestamp"": 10240.4930707}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 14:49:30"", ""type"": ""EEG"", ""source_id"": ""checkup_149_10.06.2026 14:49:30"", ""uid"": ""b76393ad-4dec-4189-8f95-9556d535c39f"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	6
export_step_total	7
export_step_dac0_f1_hz	12.0
export_step_dac0_f2_hz	14.0
export_step_dac1_f1_hz	32.0
export_step_dac1_f2_hz	34.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
15.164354085922241	1781094169.0	1781094169.6347802	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	486.8958435058594	29.771435057710192	-330.13812255859375	-39.46442900170385	-212.99765014648438	-26.577227287680422	-37.684906005859375	9.87942032457737	-67.4563980102539	-15.473197620281013	-123.14674377441406	-27.676163261444106	191.2015838623047	-9.48767821953593	-11.183208465576172	-3.4638696958057236	0.0	0.0	0.0	0.0
15.164358615875244	1781094169.0	1781094169.6347847	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	486.7189025878906	31.679751629306846	-330.4504699707031	-41.64037012520634	-212.15914916992188	-26.659759396020828	-45.29123306274414	2.2891477006486176	-67.82670593261719	-17.05712150206635	-121.50471496582031	-26.7105266628186	190.67088317871094	-9.711644096026692	-12.28392219543457	-4.607465210957809	0.0	0.0	0.0	0.0
15.164361000061035	1781094169.0	1781094169.634787	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	490.1868591308594	33.814685047103275	-333.7307434082031	-43.8104612945165	-212.7832489013672	-26.928832860239755	-52.32744598388672	-4.898613978788962	-69.69175720214844	-18.505956323326576	-120.63275146484375	-25.896372443453075	191.3385009765625	-9.827116096807826	-13.539373397827148	-5.767867648406639	0.0	0.0	0.0	0.0
15.164363145828247	1781094169.0	1781094169.6347892	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	496.5185546875	36.06786338158344	-338.9085693359375	-45.6737697199314	-214.6336212158203	-27.36223351996351	-58.31694030761719	-11.158739149787808	-72.3103256225586	-19.53042205048503	-120.51129150390625	-25.22472683490346	193.08865356445312	-9.77735397608206	-14.928257942199707	-6.959733962797227	0.0	0.0	0.0	0.0
15.1643648147583	1781094169.0	1781094169.634791	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	500.78851318359375	38.17632084699067	-341.7798767089844	-46.893628073165424	-215.7001495361328	-27.84390879524323	-62.69294738769531	-15.999260927346306	-73.6965103149414	-19.897138302257982	-120.1005859375	-24.621114101899217	194.23681640625	-9.558368863523931	-16.2616024017334	-8.186103398433675	0.0	0.0	0.0	0.0
15.164366722106934	1781094169.0	1781094169.6347928	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	496.56158447265625	39.7132703942354	-337.2893981933594	-47.130106923082835	-213.33270263671875	-28.16309056236678	-64.99028778076172	-19.009513855417744	-71.73474884033203	-19.476664249562756	-117.9829330444336	-23.951072839355533	192.4521026611328	-9.239569195176486	-17.287797927856445	-9.432055662750125	0.0	0.0	0.0	0.0
15.164368391036987	1781094169.0	1781094169.6347945	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	482.2113952636719	40.10724601260464	-324.4714050292969	-46.06534544713742	-206.93084716796875	-28.029338940511902	-65.15653228759766	-19.903301610130313	-66.19959259033203	-18.263037472259374	-113.85131072998047	-23.03606719035771	187.1035919189453	-8.973070536538724	-17.93528175354004	-10.660468926685034	0.0	0.0	0.0	0.0
15.16437029838562	1781094169.0	1781094169.6347964	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	466.0073547363281	38.706752508744955	-310.165283203125	-43.4293670932881	-200.064453125	-27.109374704439688	-63.68732452392578	-18.550452215667487	-60.05238723754883	-16.362264735686185	-109.64002990722656	-21.68055236505475	181.22935485839844	-8.98072292185381	-18.50174903869629	-11.812107223295657	0.0	0.0	0.0	0.0
15.164371967315674	1781094169.0	1781094169.634798	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	463.5753173828125	34.915589024750865	-306.6855163574219	-39.04968794910606	-199.30152893066406	-25.095526283197778	-61.3101806640625	-14.994043849084344	-58.21440124511719	-13.962037127858252	-108.8150863647461	-19.713703365216134	180.71389770507812	-9.506967485669783	-19.549551010131836	-12.812213235632568	0.0	0.0	0.0	0.0
15.164374113082886	1781094169.0	1781094169.6348002	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	486.036376953125	28.408346496989747	-322.4364929199219	-32.944976266663794	-209.08538818359375	-21.80907468093035	-58.29082107543945	-9.453455797723176	-63.701358795166016	-11.302105433920973	-113.54026794433594	-17.046693595531373	189.9403076171875	-10.7339975945192	-21.45056915283203	-13.584390185223661	0.0	0.0	0.0	0.0
15.16437578201294	1781094169.0	1781094169.6348019	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	525.6834716796875	19.386033453962376	-351.0643310546875	-25.450720054042765	-225.68763732910156	-17.32018907793377	-53.879756927490234	-2.3135965807719465	-73.60375213623047	-8.657701538766872	-121.47187805175781	-13.735671139252371	206.35549926757812	-12.67623181940861	-23.84803581237793	-14.069647837262949	0.0	0.0	0.0	0.0
15.164377689361572	1781094169.0	1781094169.6348038	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	551.2587890625	8.76573566441957	-368.50054931640625	-17.315084008035235	-235.437255859375	-12.037258548462653	-46.52228546142578	5.901210334212426	-78.62277221679688	-6.330273363633555	-125.04903411865234	-10.025819938080344	218.41334533691406	-15.096856547879192	-25.493946075439453	-14.245011380782714	0.0	0.0	0.0	0.0
15.164379119873047	1781094169.0	1781094169.6348052	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	520.58349609375	-1.835915634325981	-343.5310363769531	-9.67271173042408	-220.45260620117188	-6.703545990783606	-34.981204986572266	14.57133650068052	-68.00929260253906	-4.62451296629567	-114.92269897460938	-6.344602649401441	209.91517639160156	-17.502083533352444	-24.749597549438477	-14.134157665850555	0.0	0.0	0.0	0.0
15.16438102722168	1781094169.0	1781094169.634807	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	405.7798767089844	-10.414276310381656	-257.5873107910156	-3.834743273516539	-169.62948608398438	-2.261559985432033	-19.7343807220459	23.04391711921765	-37.576236724853516	-3.79451376961572	-86.0624771118164	-3.22486206830468	169.23838806152344	-19.24889234200623	-20.55882453918457	-13.804351959526118	0.0	0.0	0.0	0.0
15.164382457733154	1781094169.0	1781094169.6348085	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	214.92308044433594	-15.127222710502124	-120.73623657226562	-0.9320183476649433	-87.75090026855469	0.3914099117860779	-3.5563268661499023	30.705962896029522	4.857439041137695	-3.9685632071664	-42.44527053833008	-1.172178237422706	97.67395782470703	-19.746488354811415	-13.27337646484375	-13.349829251745408	0.0	0.0	0.0	0.0
15.164384365081787	1781094169.0	1781094169.6348104	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	483.6973876953125	-14.868995530187446	-323.0596618652344	-1.5581923992449116	-202.15890502929688	0.6635970370018949	-10.751694679260254	37.054640409220525	-70.92080688476562	-5.092213093982852	-104.52454376220703	-0.5270117897016604	199.77963256835938	-18.67002947936894	-22.915782928466797	-12.868623774797031	0.0	0.0	0.0	0.0
15.16438603401184	1781094169.0	1781094169.634812	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	483.5113830566406	-9.607259108863973	-323.316162109375	-5.5859398229343755	-201.98342895507812	-1.5681501580842265	-5.736853122711182	41.74990169867306	-72.13688659667969	-6.931699933598441	-103.91559600830078	-1.3809733945846445	199.93736267089844	-16.08680338760658	-22.190738677978516	-12.44260758310161	0.0	0.0	0.0	0.0
15.164387941360474	1781094169.0	1781094169.634814	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	487.0089416503906	-0.3511849717408697	-324.363525390625	-12.233790981829939	-203.99041748046875	-5.951793798179911	-2.6898274421691895	44.64147957534016	-71.40162658691406	-9.14461987019138	-104.64993286132812	-3.5762610535979573	201.0979461669922	-12.442428593764335	-21.47563362121582	-12.126801124407727	0.0	0.0	0.0	0.0
15.164389371871948	1781094169.0	1781094169.6348155	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	493.43902587890625	11.179496312275724	-326.1759033203125	-20.31842015310375	-207.82501220703125	-11.783833076030763	-1.5253249406814575	45.771325846183245	-69.17463684082031	-11.381019746971454	-106.62335968017578	-6.771653336667181	203.08143615722656	-8.43158228279643	-20.884618759155273	-11.94735032669511	0.0	0.0	0.0	0.0
