# METADATA
key	value
export_created_at	2026-06-10T14:14:00
record_start_app_timestamp	1781090014.7106543
record_end_app_timestamp	1781090035.905585
record_samples	1515
record_duration_s	21.19493079185486
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781090014.7106612, ""lsl_timestamp"": 6082.565457}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781090017.7350323, ""lsl_timestamp"": 6085.5898265}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781090020.7786367, ""lsl_timestamp"": 6088.6334322}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781090023.806075, ""lsl_timestamp"": 6091.6608705}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781090026.8324518, ""lsl_timestamp"": 6094.6872467}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781090029.8512664, ""lsl_timestamp"": 6097.7060614}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781090032.8618178, ""lsl_timestamp"": 6100.7166127}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 13:52:36"", ""type"": ""EEG"", ""source_id"": ""checkup_147_10.06.2026 13:52:36"", ""uid"": ""0d826109-735b-40ec-8287-49dfd6e8b343"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	1
export_step_total	7
export_step_dac0_f1_hz	10.0
export_step_dac0_f2_hz	10.0
export_step_dac1_f1_hz	8.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
0.05284881591796875	1781090014.0	1781090014.763503	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-8.72245979309082	-5.012594554490362	43.113304138183594	0.7216610095276395	14.189098358154297	-5.484789114433338	17.722265243530273	-3.2150244091729014	16.009449005126953	-1.4711459681739338	11.935590744018555	-7.514310502678394	11.457002639770508	-3.594129886461641	-4.603329181671143	2.184898408517063	0.0	0.0	0.0	0.0
0.05285501480102539	1781090014.0	1781090014.7635093	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-9.746100425720215	-5.25051151451795	43.24654006958008	-3.380647773524691	15.137983322143555	-8.550896297275296	19.541704177856445	-4.948732843449638	17.846576690673828	-3.5994054303506964	12.747355461120605	-10.139420451457998	14.216139793395996	-3.5178238158983315	-6.9709367752075195	0.5245571083923258	0.0	0.0	0.0	0.0
0.052857398986816406	1781090014.0	1781090014.7635117	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-10.236560821533203	-5.46166330748307	41.09458923339844	-7.33325169179019	14.360345840454102	-11.663067027225344	20.748611450195312	-6.965444908721271	18.109352111816406	-5.860112797194069	12.592246055603027	-12.797612069309823	17.084003448486328	-3.896893275930816	-9.305720329284668	-0.8499774345348791	0.0	0.0	0.0	0.0
0.05285930633544922	1781090014.0	1781090014.7635136	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-9.995952606201172	-5.60995095349164	36.774600982666016	-11.00144784693817	11.317612648010254	-14.814944308735042	19.861906051635742	-9.469643962340513	15.957728385925293	-8.313207509749425	10.746986389160156	-15.549721492863856	18.340282440185547	-5.051058797461094	-10.73241901397705	-1.705663112793073	0.0	0.0	0.0	0.0
0.05286121368408203	1781090014.0	1781090014.7635155	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-9.206536293029785	-5.664843592419932	30.6846923828125	-14.222238157510123	5.932496547698975	-17.906727637672926	15.523539543151855	-12.486321340941656	11.005311965942383	-10.873738871255172	6.380884170532227	-18.36356268047159	16.111967086791992	-7.085209894450264	-10.707514762878418	-1.9113256592174777	0.0	0.0	0.0	0.0
0.052863121032714844	1781090014.0	1781090014.7635174	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-8.240823745727539	-5.6027152370330535	23.49006462097168	-16.825059481931685	-1.2019562721252441	-20.7507394620841	7.352989673614502	-15.840334829158019	3.733454465866089	-13.31994646807956	-0.8777492046356201	-21.103166756537355	9.430150985717773	-9.862173806511725	-9.294750213623047	-1.462897736005254	0.0	0.0	0.0	0.0
0.05286526679992676	1781090014.0	1781090014.7635195	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-7.462090492248535	-5.406062142120899	16.58890724182129	-18.68004695403775	-8.53416633605957	-23.117115841937792	-3.127131462097168	-19.200268309487782	-3.996412992477417	-15.365584322248079	-9.872868537902832	-23.56451778787205	-0.6325609683990479	-13.044146991736557	-7.041901588439941	-0.4815657243376047	0.0	0.0	0.0	0.0
0.05286693572998047	1781090014.0	1781090014.7635212	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-7.120455741882324	-5.063111726635874	12.384475708007812	-19.75342786010647	-13.659943580627441	-24.802668229082467	-12.34852123260498	-22.171678309078384	-9.103838920593262	-16.768605832165647	-17.38515853881836	-25.544331271326985	-10.715476989746094	-16.190480961940864	-4.629434108734131	0.8150426406397921	0.0	0.0	0.0	0.0
0.05286884307861328	1781090014.0	1781090014.763523	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-7.3073577880859375	-4.570469328132261	13.48832893371582	-20.141771516187944	-14.21458625793457	-25.696023473436135	-16.01061248779297	-24.406572481098756	-8.687468528747559	-17.43131926433544	-19.239545822143555	-26.912686262698276	-16.469820022583008	-18.880609557247475	-2.619450330734253	2.162232991263015	0.0	0.0	0.0	0.0
0.052870750427246094	1781090014.0	1781090014.763525	1	10.0	10.0	8.0	8.0	NeuronSpectrum 10.06.2026 13:52:36	EEG	checkup_147_10.06.2026 13:52:36	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-7.881834983825684	-3.9396216061019578	20.624530792236328	-20.06252276966926	-9.517922401428223	-25.813303364653294	-11.76926040649414	-25.690272208063273	-2.3424103260040283	-17.4488040348474	-13.23267650604248	-27.656753088724994	-15.152759552001953	-20.821710369147045	-1.3772871494293213	3.3069676548845104	0.0	0.0	0.0	0.0
