# METADATA
key	value
export_created_at	2026-06-17T14:49:51
record_start_app_timestamp	1781696938.5411067
record_end_app_timestamp	1781696959.7327309
record_samples	1545
record_duration_s	21.1916241645813
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696938.5411127, ""lsl_timestamp"": 3384.3958534}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781696941.5492904, ""lsl_timestamp"": 3387.4040303}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696944.5763974, ""lsl_timestamp"": 3390.4311373}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781696947.61553, ""lsl_timestamp"": 3393.4702698}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696950.6384068, ""lsl_timestamp"": 3396.4931468}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781696953.6654034, ""lsl_timestamp"": 3399.5201428}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781696956.6760216, ""lsl_timestamp"": 3402.530761}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	7
export_step_total	7
export_step_dac0_f1_hz	55.0
export_step_dac0_f2_hz	22.0
export_step_dac1_f1_hz	10.0
export_step_dac1_f2_hz	4.0
export_step_duration_s	3.0
export_step_records	1545

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
18.178915977478027	1781696956.0	1781696956.7200227	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	1.1672420501708984	-0.04884098683683917	-31.602033615112305	-34.265411698120104	-30.714069366455078	-42.0875386711685	-35.73117446899414	-40.05178813537878	-25.228044509887695	-34.16185802508279	-26.281400680541992	-41.60969144065301	-24.923999786376953	-35.41438615058123	5.527298927307129	4.107723223711442	0.0	0.0	0.0	0.0
18.178922414779663	1781696956.0	1781696956.720029	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	0.18507128953933716	-0.9766499568033289	-30.096275329589844	-29.63151156253717	-29.17281150817871	-37.07857809854796	-38.953399658203125	-37.80047583268527	-23.344425201416016	-30.122844126063203	-24.46599769592285	-37.104778883943986	-26.5966796875	-34.1122590084918	4.412819862365723	3.8549259189951703	0.0	0.0	0.0	0.0
18.178925037384033	1781696956.0	1781696956.7200317	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-0.28314000368118286	-1.8066970889095582	-26.53555679321289	-25.167398671604282	-25.547868728637695	-32.17711997354452	-39.27029037475586	-35.39540300017205	-20.015714645385742	-26.324353981613925	-21.210330963134766	-32.792372900426024	-26.80085563659668	-32.78547408312085	3.3023366928100586	3.63524941523476	0.0	0.0	0.0	0.0
18.178927183151245	1781696956.0	1781696956.720034	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-0.5672482252120972	-2.4590969318320495	-21.452102661132812	-21.135771615549366	-19.989839553833008	-27.5999388541948	-35.66733932495117	-32.83769636720053	-15.917325019836426	-23.081915997392688	-16.733903884887695	-28.97347337023633	-24.985084533691406	-31.5158359065476	2.966599941253662	3.471504923620025	0.0	0.0	0.0	0.0
18.178929328918457	1781696956.0	1781696956.720036	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-1.168713927268982	-2.873622460442831	-16.00149917602539	-17.79322073619854	-13.600903511047363	-23.578588492752417	-29.140134811401367	-30.233262674199725	-12.05978012084961	-20.66731203760269	-11.92427921295166	-25.932320908239785	-21.663705825805664	-30.419640533813986	3.7823948860168457	3.3690107971921948	0.0	0.0	0.0	0.0
18.178931713104248	1781696956.0	1781696956.7200384	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-2.1965155601501465	-3.019051688274536	-11.37490463256836	-15.348350506657178	-7.802213191986084	-20.322330539009695	-21.906784057617188	-27.767556071858554	-9.270482063293457	-19.260922734061403	-7.8352179527282715	-23.88757412261582	-18.046024322509766	-29.619018915465887	5.395761013031006	3.3179723345224166	0.0	0.0	0.0	0.0
18.1789333820343	1781696956.0	1781696956.72004	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-3.153702735900879	-2.9017327449098302	-8.249183654785156	-13.916449910555901	-3.5517520904541016	-17.973688980741503	-15.992776870727539	-25.64479186566951	-7.825273513793945	-18.91239675340334	-5.113252639770508	-22.943683336576317	-15.272651672363281	-29.200816659650506	6.8612141609191895	3.3031107445147994	0.0	0.0	0.0	0.0
18.178935527801514	1781696956.0	1781696956.7200422	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-3.2677154541015625	-2.5698899601621465	-6.66493558883667	-13.48653185015764	-1.0050898790359497	-16.572944196484837	-12.323637962341309	-24.01600449961985	-7.5072479248046875	-19.5230411759281	-3.8307340145111084	-23.059235328752163	-13.863601684570312	-29.179446265169613	7.2307610511779785	3.3151710210519933	0.0	0.0	0.0	0.0
18.178937435150146	1781696956.0	1781696956.7200441	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-2.11965012550354	-2.109332740321474	-6.448740482330322	-13.91443562429537	0.08973135054111481	-16.04620628881286	-10.933725357055664	-22.924806233970028	-8.098128318786621	-20.858909914683924	-3.9055020809173584	-24.046264672067753	-13.821592330932617	-29.480425161858268	6.22967004776001	3.357444105116918	0.0	0.0	0.0	0.0
18.1789391040802	1781696956.0	1781696956.7200458	7	55.0	22.0	10.0	4.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	514.6666666666666	True	0.5	40.0	4	True	50.0	30.0	-0.06566036492586136	-1.6278959365048453	-7.720819473266602	-14.948351511222409	-0.2970936596393585	-16.224455245962375	-11.741549491882324	-22.292957990203835	-9.815590858459473	-22.595660753718406	-5.612214088439941	-25.606511322175027	-15.121783256530762	-29.954878363969073	4.474461078643799	3.4426621244768127	0.0	0.0	0.0	0.0
