# METADATA
key	value
export_created_at	2026-06-17T15:18:23
record_start_app_timestamp	1781698669.5767698
record_end_app_timestamp	1781698690.812579
record_samples	1530
record_duration_s	21.235809087753296
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781698669.5767791, ""lsl_timestamp"": 5115.4315226}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781698672.621541, ""lsl_timestamp"": 5118.4762816}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781698675.6607382, ""lsl_timestamp"": 5121.5154781}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781698678.7082975, ""lsl_timestamp"": 5124.5630374}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781698681.7271538, ""lsl_timestamp"": 5127.5818938}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781698684.7418442, ""lsl_timestamp"": 5130.5965835}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781698687.7564573, ""lsl_timestamp"": 5133.6111969}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	3
export_step_total	7
export_step_dac0_f1_hz	12.0
export_step_dac0_f2_hz	14.0
export_step_dac1_f1_hz	6.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1530

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
6.0842578411102295	1781698675.0	1781698675.6610277	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	3.6014163494110107	-0.840551650008232	2.9195611476898193	0.4695289254278379	1.0166728496551514	2.5066686516842	-6.858311653137207	0.5822611375331357	-2.7185776233673096	0.7996890808401187	-3.663954734802246	0.4011484530484727	-9.175870895385742	-4.587080137337633	-3.1677963733673096	-1.8577484062088996	0.0	0.0	0.0	0.0
6.084261894226074	1781698675.0	1781698675.6610317	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	3.8916664123535156	-2.0037379359246286	1.841476559638977	1.7297998908828927	0.9945357441902161	4.91123701718453	-5.982910633087158	3.6812606791400997	-2.703810930252075	3.106207011816053	-3.101963758468628	3.0655906454625352	-3.252678871154785	1.1987966197027622	-3.173863649368286	-2.084879480583733	0.0	0.0	0.0	0.0
6.084272146224976	1781698675.0	1781698675.661042	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	3.36148738861084	-3.0795412198570284	2.904296875	2.8608068769429313	3.045877456665039	7.122789183561449	-2.830427885055542	6.470032911849499	-0.6149446964263916	5.18319802791513	-0.4578668177127838	5.448378923347464	4.879554748535156	6.058752704805531	-3.8289332389831543	-2.383258707155452	0.0	0.0	0.0	0.0
6.084274053573608	1781698675.0	1781698675.661044	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	1.9766892194747925	-4.000816253990679	5.490809917449951	3.730826040381347	6.6313395500183105	8.96158900332362	1.5822168588638306	8.692012115580997	2.8842244148254395	6.8622391167793095	3.3984391689300537	7.354006862899539	12.428055763244629	9.5511738507793	-4.56150484085083	-2.7921652623702298	0.0	0.0	0.0	0.0
6.084275722503662	1781698675.0	1781698675.6610456	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.0033607902005314827	-4.710743142882249	8.089777946472168	4.238664248728531	10.246528625488281	10.289922062302537	5.389726161956787	10.176455747507203	6.365471363067627	8.028937620107126	6.969913482666016	8.657855548318242	17.224143981933594	11.531229619699625	-4.901167392730713	-3.3210764518288904	0.0	0.0	0.0	0.0
6.084277391433716	1781698675.0	1781698675.6610472	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-1.9700207710266113	-5.171367271555546	9.123611450195312	4.334081165785316	12.230380058288574	11.035989609512669	6.902327060699463	10.867615069948084	8.350001335144043	8.641737517799404	8.858189582824707	9.325554296926098	18.152700424194336	12.161015471660667	-4.787017822265625	-3.9422644898194563	0.0	0.0	0.0	0.0
6.084279298782349	1781698675.0	1781698675.6610491	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-3.242999315261841	-5.374773329605087	7.974474906921387	4.03252493818344	11.835029602050781	11.211552924166567	5.666073799133301	10.83559233360353	8.13495922088623	8.744114262667189	8.468839645385742	9.422216362197492	14.885376930236816	11.861201661724566	-4.566949844360352	-4.5884163548191275	0.0	0.0	0.0	0.0
6.084280729293823	1781698675.0	1781698675.6610506	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-3.338998794555664	-5.351533496067958	5.477751731872559	3.4171110421037434	9.788002014160156	10.91527770934177	2.79787540435791	10.262602782243182	6.183740615844727	8.462999343433873	6.275635719299316	9.105096184999642	7.618198871612549	11.209891084905017	-4.728797435760498	-5.157431985170125	0.0	0.0	0.0	0.0
6.084282636642456	1781698675.0	1781698675.6610525	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-2.261909008026123	-5.170384498508891	3.3837525844573975	2.624708126736248	7.789560317993164	10.317250227968797	0.22756052017211914	9.4045667546364	3.7711069583892822	7.988580932559921	3.4764957427978516	8.595893000066457	-2.350949764251709	10.802811324376387	-5.532930850982666	-5.5267007495435525	0.0	0.0	0.0	0.0
6.08428430557251	1781698675.0	1781698675.6610541	3	12.0	14.0	6.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.5088490843772888	-4.925702089862166	3.020735740661621	1.8189504304324435	7.192789077758789	9.626447711487035	-0.692461371421814	8.53582735088168	2.132852554321289	7.536620260702303	1.3409734964370728	8.135295423527252	-11.279204368591309	11.10153780165892	-6.801337718963623	-5.577517525112767	0.0	0.0	0.0	0.0
