# METADATA
key	value
export_created_at	2026-06-10T15:13:47
record_start_app_timestamp	1781093598.7498736
record_end_app_timestamp	1781093619.93866
record_samples	1500
record_duration_s	21.188786268234253
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781093598.7498794, ""lsl_timestamp"": 9666.604675}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781093601.794528, ""lsl_timestamp"": 9669.6493227}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781093604.8172085, ""lsl_timestamp"": 9672.6720038}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781093607.836271, ""lsl_timestamp"": 9675.691066}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781093610.8552184, ""lsl_timestamp"": 9678.7100137}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781093613.8780298, ""lsl_timestamp"": 9681.7328246}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781093616.9130929, ""lsl_timestamp"": 9684.767888}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 14:49:30"", ""type"": ""EEG"", ""source_id"": ""checkup_149_10.06.2026 14:49:30"", ""uid"": ""b76393ad-4dec-4189-8f95-9556d535c39f"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	5
export_step_total	7
export_step_dac0_f1_hz	25.0
export_step_dac0_f2_hz	29.0
export_step_dac1_f1_hz	12.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1500

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
12.125741481781006	1781093610.0	1781093610.8756151	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	100.32805633544922	6.82541810565107	249.029052734375	-2.1043084417773787	-414.5567321777344	-65.11292255179345	-275.26983642578125	9.689355965850895	455.4457702636719	230.5862934317553	28.809886932373047	-9.258117803035374	-39.8955078125	-20.145146889377088	-20.40656089782715	-4.102097780126578	0.0	0.0	0.0	0.0
12.125746965408325	1781093610.0	1781093610.8756206	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	100.22354888916016	7.036825656475816	249.32069396972656	0.8341053638008284	-409.2698669433594	-63.43676559045776	-272.50823974609375	11.465510087746692	452.0395202636719	231.79434730439672	31.195987701416016	-7.119164010047294	-39.7790641784668	-21.762252838367413	-20.247657775878906	-3.5603436046275125	0.0	0.0	0.0	0.0
12.125748872756958	1781093610.0	1781093610.8756225	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	100.8008041381836	7.3063246393342025	252.9755859375	4.0065721400092205	-407.6763000488281	-62.035889318269916	-271.5930480957031	13.014322122410213	452.9873352050781	233.30112187899664	33.76259994506836	-5.029858039278202	-40.05208206176758	-23.436553996916118	-19.904382705688477	-3.041720057174094	0.0	0.0	0.0	0.0
12.12575078010559	1781093610.0	1781093610.8756244	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	101.89852142333984	7.621140070295024	259.2633972167969	7.45328856621487	-409.23828125	-60.80948954418489	-272.3690490722656	14.309886436224488	457.1841735839844	235.09564379640696	36.25341796875	-3.0414571084156603	-41.056095123291016	-25.24199361349186	-19.451656341552734	-2.572496915815988	0.0	0.0	0.0	0.0
12.125752449035645	1781093610.0	1781093610.875626	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	102.53672790527344	7.934672158827962	265.0973205566406	11.065049795916194	-409.781005859375	-59.486466644240146	-272.3688659667969	15.430656337583171	459.9317626953125	236.96865091605656	38.18007278442383	-1.2021106402606023	-43.087825775146484	-27.16967919230877	-18.84627342224121	-2.1807634464942094	0.0	0.0	0.0	0.0
12.125754117965698	1781093610.0	1781093610.8756278	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	101.44727325439453	8.163364865716394	266.583740234375	14.559145033038243	-403.6866760253906	-57.63785029980387	-268.21295166015625	16.566589719267956	455.3675842285156	238.48874120601127	39.047367095947266	0.43718435687429985	-46.326168060302734	-29.109852832504515	-17.99850082397461	-1.8919829778629118	0.0	0.0	0.0	0.0
12.125756025314331	1781093610.0	1781093610.8756297	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	98.34889221191406	8.189473065430025	262.4680480957031	17.489024364940562	-389.1862487792969	-54.7272028035008	-259.0403747558594	18.004952301216136	441.921630859375	239.02119510826557	38.84144592285156	1.8122532135801106	-50.59596252441406	-30.872764331233515	-16.98172950744629	-1.7220333290933356	0.0	0.0	0.0	0.0
12.125757694244385	1781093610.0	1781093610.8756313	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	94.9687728881836	7.873806915958281	256.8450622558594	19.296655517131953	-372.69012451171875	-50.20111402483489	-249.3006134033203	20.08657102326697	426.5728759765625	237.80291077526914	38.37538146972656	2.8364495529669966	-55.03416061401367	-32.24517522590985	-16.19989585876465	-1.6707335362170326	0.0	0.0	0.0	0.0
12.125759363174438	1781093610.0	1781093610.875633	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	94.5094223022461	7.084184167553733	257.77899169921875	19.41725148760054	-366.8568420410156	-43.6269709389259	-247.41786193847656	23.121589217352444	422.5268249511719	234.09043173237845	38.988731384277344	3.4000637915308145	-58.02590560913086	-33.065669413110115	-16.274738311767578	-1.7196534042426082	0.0	0.0	0.0	0.0
12.125761032104492	1781093610.0	1781093610.8756347	5	25.0	29.0	12.0	8.0	NeuronSpectrum 10.06.2026 14:49:30	EEG	checkup_149_10.06.2026 14:49:30	500.0	499.6666666666667	True	0.5	40.0	4	True	50.0	30.0	99.21842193603516	5.741807784232896	271.0043640136719	17.43541302937957	-380.9407958984375	-34.875585811460006	-259.38427734375	27.263336667774624	439.01544189453125	227.38275114033	41.50966262817383	3.3845447038960654	-57.82814407348633	-33.292752170704546	-17.591583251953125	-1.8368864213134235	0.0	0.0	0.0	0.0
