# METADATA
key	value
export_created_at	2026-06-17T14:41:45
record_start_app_timestamp	1781696463.9682736
record_end_app_timestamp	1781696485.1613123
record_samples	1530
record_duration_s	21.19303870201111
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696463.9682832, ""lsl_timestamp"": 2909.8230264}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781696467.0004456, ""lsl_timestamp"": 2912.8551859}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696470.035587, ""lsl_timestamp"": 2915.8903273}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781696473.0667589, ""lsl_timestamp"": 2918.9214988}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781696476.0772526, ""lsl_timestamp"": 2921.9319926}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781696479.0960383, ""lsl_timestamp"": 2924.9507783}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781696482.1271615, ""lsl_timestamp"": 2927.9819019}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 17.06.2026 14:10:28"", ""type"": ""EEG"", ""source_id"": ""checkup_155_17.06.2026 14:10:28"", ""uid"": ""e846629c-a5dc-4324-8f19-ed5c81a8dd7c"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	1
export_step_total	7
export_step_dac0_f1_hz	10.0
export_step_dac0_f2_hz	10.0
export_step_dac1_f1_hz	8.0
export_step_dac1_f2_hz	8.0
export_step_duration_s	3.0
export_step_records	1530

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
0.053450584411621094	1781696463.0	1781696464.0217242	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	9.779064178466797	11.061476639500567	-44.372074127197266	4.7494578796441616	-55.15858840942383	3.153290098480582	-66.84162902832031	11.854593475654585	-56.12821578979492	5.753758729889738	-36.773685455322266	5.852754511078463	-56.33484649658203	8.804006219829944	-8.096014022827148	-1.1322926801783002	0.0	0.0	0.0	0.0
0.053457021713256836	1781696463.0	1781696464.0217307	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	9.568281173706055	10.862859780470364	-42.971920013427734	8.222450406229877	-52.7852897644043	7.796285674322134	-69.37987518310547	22.155856061784714	-55.967926025390625	7.876011274145929	-37.70539474487305	9.39820140247688	-54.17558670043945	14.215228490739255	-9.212985038757324	-0.6932491038093156	0.0	0.0	0.0	0.0
0.05345964431762695	1781696463.0	1781696464.0217333	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	9.524992942810059	10.662147086260187	-40.639381408691406	11.513743335684554	-49.03992462158203	12.20174898148745	-63.387916564941406	31.851465837284753	-55.165924072265625	9.97054328149684	-36.719696044921875	12.77432285531788	-49.843894958496094	19.374232533664244	-8.503153800964355	-0.2902482819367331	0.0	0.0	0.0	0.0
0.05346202850341797	1781696463.0	1781696464.0217357	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	9.78652286529541	10.45923709215989	-37.47172546386719	14.391843515518062	-44.532371520996094	16.113907334350806	-50.66802215576172	40.30180263900197	-53.4765625	11.992456491193606	-33.5743293762207	15.833856453417186	-44.42011642456055	24.045625349040307	-6.934214115142822	0.02183506291941551	0.0	0.0	0.0	0.0
0.05346417427062988	1781696463.0	1781696464.0217378	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	10.201910972595215	10.25614445695658	-33.41061782836914	16.65721950229014	-39.42802429199219	19.322882087685393	-34.57319259643555	46.96425709392117	-50.16845703125	13.886636438903434	-27.915002822875977	18.42994542745567	-38.191280364990234	28.035890086491456	-5.691691875457764	0.2040715439739513	0.0	0.0	0.0	0.0
0.053466081619262695	1781696463.0	1781696464.0217397	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	10.368624687194824	10.057861808772588	-29.03076934814453	18.186681063381293	-34.200809478759766	21.706292294772194	-19.48801612854004	51.49327237682256	-45.15217208862305	15.607444534127728	-20.274993896484375	20.44171353870288	-31.53313446044922	31.226508801916065	-5.4226274490356445	0.24889770784550047	0.0	0.0	0.0	0.0
0.05346822738647461	1781696463.0	1781696464.0217419	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	9.940469741821289	9.872173816819995	-25.722564697265625	18.97708227112692	-30.040475845336914	23.267232682212242	-9.663838386535645	53.83612451310708	-39.69895935058594	17.150211580206346	-12.679131507873535	21.817702416065774	-25.621644973754883	33.60720188538765	-5.96152925491333	0.19066534356593579	0.0	0.0	0.0	0.0
0.05347013473510742	1781696463.0	1781696464.0217438	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	9.001103401184082	9.707461489675943	-24.90096664428711	19.170691358289094	-28.347370147705078	24.152788494943366	-7.57942533493042	54.28349837761097	-35.96389389038086	18.580420538680933	-8.082321166992188	22.61907981029383	-22.146936416625977	35.29547126817624	-6.64078426361084	0.10559549508242004	0.0	0.0	0.0	0.0
0.053472280502319336	1781696463.0	1781696464.021746	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	8.162069320678711	9.568541249497317	-26.80840301513672	19.046287612123063	-29.617393493652344	24.639143890985018	-12.712434768676758	53.44154544739609	-35.51734924316406	20.0429157669288	-8.749089241027832	23.038400508826662	-22.146520614624023	36.52849597836921	-6.867980003356934	0.0985910554365996	0.0	0.0	0.0	0.0
0.05347466468811035	1781696463.0	1781696464.0217483	1	10.0	10.0	8.0	8.0	NeuronSpectrum 17.06.2026 14:10:28	EEG	checkup_155_17.06.2026 14:10:28	500.0	509.6666666666667	True	0.5	40.0	4	True	50.0	30.0	8.183106422424316	9.452104582979237	-30.010326385498047	18.969821323975683	-32.70692443847656	25.07877117508452	-21.759706497192383	52.11704532766259	-37.996978759765625	21.738473327673837	-14.575366973876953	23.37503103667228	-24.957277297973633	37.620507950930076	-6.516550540924072	0.2789470103274307	0.0	0.0	0.0	0.0
