# METADATA
key	value
export_created_at	2026-06-10T16:12:56
record_start_app_timestamp	1781097149.4693372
record_end_app_timestamp	1781097170.657759
record_samples	1515
record_duration_s	21.188421726226807
stim_sequence_file	C:/Users/laba/Desktop/прога_gсвет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781097149.4693422, ""lsl_timestamp"": 660.3304208}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1781097152.4882417, ""lsl_timestamp"": 663.3493192}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781097155.5234895, ""lsl_timestamp"": 666.384567}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1781097158.5545444, ""lsl_timestamp"": 669.4156214}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1781097161.5813346, ""lsl_timestamp"": 672.4424118}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1781097164.600363, ""lsl_timestamp"": 675.4614401}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1781097167.6396508, ""lsl_timestamp"": 678.5007284}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 10.06.2026 16:02:51"", ""type"": ""EEG"", ""source_id"": ""checkup_151_10.06.2026 16:02:51"", ""uid"": ""d5530522-49ac-4767-9a8b-002ba3377ac4"", ""channel_count"": 10, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	6
export_step_total	7
export_step_dac0_f1_hz	12.0
export_step_dac0_f2_hz	14.0
export_step_dac1_f1_hz	32.0
export_step_dac1_f2_hz	34.0
export_step_duration_s	3.0
export_step_records	1515

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10
15.163982152938843	1781097164.0	1781097164.6333194	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.3365381956100464	0.26234868194852423	-0.9701815247535706	-1.5242566370775072	3.7569353580474854	-0.6394937963389268	3.8795015811920166	0.44318036077847023	1.5265403985977173	-1.1473055485871106	5.278631687164307	-0.8774268369844269	1.2161126136779785	4.786371124615313	6.671088218688965	1.195357744916267	0.0	0.0	0.0	0.0
15.163987159729004	1781097164.0	1781097164.6333244	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.6063550114631653	0.1283688014326425	0.9787405729293823	-1.5651375122397777	6.326242923736572	-0.17408718264097517	6.105842590332031	0.7726801757027142	3.935633659362793	-0.6637480152612821	7.838972091674805	-0.4369288972443279	-0.48298466205596924	1.117735091536065	6.074986934661865	0.684511209363833	0.0	0.0	0.0	0.0
15.163989067077637	1781097164.0	1781097164.6333263	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.47093474864959717	-0.0010140324270629195	1.1794723272323608	-1.7469042366683336	6.969906806945801	0.09286391125270824	6.474958896636963	0.9054853654545582	4.695680141448975	-0.39032546163616166	8.528509140014648	-0.243133300042162	-4.084663391113281	-2.510296006007436	5.406637191772461	0.3336026317986391	0.0	0.0	0.0	0.0
15.16399097442627	1781097164.0	1781097164.6333282	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.08404330909252167	-0.1154744782813112	-0.11919668316841125	-2.0853126550714625	5.919315814971924	0.09451712873938299	5.2764058113098145	0.7723762731774524	3.9496963024139404	-0.39988338950820596	7.578970432281494	-0.3983212769506007	-9.083312034606934	-6.013064547598288	4.650321006774902	0.24358599590478436	0.0	0.0	0.0	0.0
15.163994073867798	1781097164.0	1781097164.6333313	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.2861584424972534	-0.20378479037695765	-1.5691285133361816	-2.527705993934944	4.568302631378174	-0.15324003601467512	3.9825658798217773	0.38230354447860015	2.917353868484497	-0.6768796286867227	6.244759559631348	-0.9020846302354762	-13.914539337158203	-9.280031548075597	4.063004970550537	0.4467721912151966	0.0	0.0	0.0	0.0
15.163995742797852	1781097164.0	1781097164.633333	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.44916653633117676	-0.25616318852659625	-1.9204908609390259	-2.9633808997068227	4.223194599151611	-0.556907013295096	3.8646671772003174	-0.18034174978512757	2.6903107166290283	-1.1209708726454815	5.621429443359375	-1.6511310727994066	-16.955734252929688	-12.179066471176588	4.1474833488464355	0.8948894042814461	0.0	0.0	0.0	0.0
15.163997650146484	1781097164.0	1781097164.6333349	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.3858891725540161	-0.2670051617236175	-1.2280257940292358	-3.2512116074074306	4.850741863250732	-0.9700113275245547	4.671427249908447	-0.7750080582591667	3.0633082389831543	-1.5718526711159169	5.543673992156982	-2.463733983102415	-17.7078914642334	-14.566879176920075	5.307772159576416	1.4656140291213176	0.0	0.0	0.0	0.0
15.163999319076538	1781097164.0	1781097164.6333365	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.20126235485076904	-0.23672485034739027	-0.8841437697410583	-3.2565302292631153	5.044467449188232	-1.2297607155220711	4.7109599113464355	-1.2354456597976955	2.612330675125122	-1.8489193713513008	4.6842241287231445	-3.1223640169514235	-17.209665298461914	-16.302570166896576	7.4159321784973145	1.9880204511592816	0.0	0.0	0.0	0.0
15.164001226425171	1781097164.0	1781097164.6333385	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	-0.0032659247517585754	-0.1718520910205364	-2.2588253021240234	-2.8887731834049597	3.416348695755005	-1.1976174798117016	2.4996819496154785	-1.4061562851059877	0.17959387600421906	-1.7977260482804007	1.9777940511703491	-3.42595451633218	-17.33779525756836	-17.26361749327968	9.651747703552246	2.2826545051940723	0.0	0.0	0.0	0.0
15.164002895355225	1781097164.0	1781097164.6333401	6	12.0	14.0	32.0	34.0	NeuronSpectrum 10.06.2026 16:02:51	EEG	checkup_151_10.06.2026 16:02:51	500.0	504.6666666666667	True	0.5	40.0	4	True	50.0	30.0	0.16508881747722626	-0.08339175649374733	-5.034090042114258	-2.1320477850637873	0.2961532771587372	-0.796173335875825	-1.3548166751861572	-1.1794997480191056	-3.4466779232025146	-1.3339760410243935	-1.785962462425232	-3.241702168126872	-19.382753372192383	-17.36572560109219	10.833952903747559	2.206887193501778	0.0	0.0	0.0	0.0
