# METADATA
key	value
export_created_at	2026-05-27T14:48:31
record_start_app_timestamp	1779882468.8852844
record_end_app_timestamp	1779882490.0694885
record_samples	1516
record_duration_s	21.1842041015625
stim_sequence_file	C:/Users/laba/Desktop/прога_свет/Частоты.txt
record_sequence_steps_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""duration_s"": 3.0}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""duration_s"": 3.0}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""duration_s"": 3.0}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""duration_s"": 3.0}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""duration_s"": 3.0}]"
stim_events_json	"[{""step_index"": 1, ""dac0_f1_hz"": 10.0, ""dac0_f2_hz"": 10.0, ""dac1_f1_hz"": 8.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1779882468.88529, ""lsl_timestamp"": 5313.7455871}, {""step_index"": 2, ""dac0_f1_hz"": 8.0, ""dac0_f2_hz"": 8.0, ""dac1_f1_hz"": 7.0, ""dac1_f2_hz"": 7.0, ""app_timestamp"": 1779882471.9043505, ""lsl_timestamp"": 5316.764648}, {""step_index"": 3, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 6.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1779882474.9226506, ""lsl_timestamp"": 5319.7829458}, {""step_index"": 4, ""dac0_f1_hz"": 2.0, ""dac0_f2_hz"": 3.0, ""dac1_f1_hz"": 3.0, ""dac1_f2_hz"": 2.0, ""app_timestamp"": 1779882477.9583423, ""lsl_timestamp"": 5322.8186384}, {""step_index"": 5, ""dac0_f1_hz"": 25.0, ""dac0_f2_hz"": 29.0, ""dac1_f1_hz"": 12.0, ""dac1_f2_hz"": 8.0, ""app_timestamp"": 1779882480.9930887, ""lsl_timestamp"": 5325.8533848}, {""step_index"": 6, ""dac0_f1_hz"": 12.0, ""dac0_f2_hz"": 14.0, ""dac1_f1_hz"": 32.0, ""dac1_f2_hz"": 34.0, ""app_timestamp"": 1779882484.0242412, ""lsl_timestamp"": 5328.8845362}, {""step_index"": 7, ""dac0_f1_hz"": 55.0, ""dac0_f2_hz"": 22.0, ""dac1_f1_hz"": 10.0, ""dac1_f2_hz"": 4.0, ""app_timestamp"": 1779882487.0473475, ""lsl_timestamp"": 5331.9076423}]"
lsl_stream_meta_json	"{""name"": ""NeuronSpectrum 27.05.2026 14:31:40"", ""type"": ""EEG"", ""source_id"": ""checkup_138_27.05.2026 14:31:40"", ""uid"": ""f02a0a7d-f337-4fd5-a757-76e638f668df"", ""channel_count"": 20, ""nominal_srate_hz"": 500.0, ""channel_format"": 1, ""lsl_protocol_version"": 110, ""lsl_library_version"": 117}"
lsl_channel_names_json	"[""ch_1"", ""ch_2"", ""ch_3"", ""ch_4"", ""ch_5"", ""ch_6"", ""ch_7"", ""ch_8"", ""ch_9"", ""ch_10"", ""ch_11"", ""ch_12"", ""ch_13"", ""ch_14"", ""ch_15"", ""ch_16"", ""ch_17"", ""ch_18"", ""ch_19"", ""ch_20""]"
filter_config_json	"{""bandpass_enabled"": true, ""bandpass_low_hz"": 0.5, ""bandpass_high_hz"": 40.0, ""bandpass_order"": 4, ""notch_enabled"": true, ""notch_hz"": 50.0, ""notch_q"": 30.0}"
filter_notes_json	"[""bandpass applied with sosfiltfilt"", ""notch applied with filtfilt""]"
arduino_params_json	"{""a1"": 0.5, ""p1"": 0.0, ""a2"": 0.5, ""p2"": 0.0, ""dac0_f1"": 100.0, ""dac0_f2"": 200.0, ""dac1_f1"": 100.0, ""dac1_f2"": 200.0, ""dc"": 2.0, ""sr"": 1000, ""gain_max"": 4.0}"
serial_port	COM12
serial_baud	115200
export_split_by_step	True
export_step_index	6
export_step_total	7
export_step_dac0_f1_hz	12.0
export_step_dac0_f2_hz	14.0
export_step_dac1_f1_hz	32.0
export_step_dac1_f2_hz	34.0
export_step_duration_s	3.0
export_step_records	1516

# DATA
record_elapsed_s	lsl_timestamp	app_timestamp	stim_step_index	stim_dac0_f1_hz	stim_dac0_f2_hz	stim_dac1_f1_hz	stim_dac1_f2_hz	lsl_stream_name	lsl_stream_type	lsl_source_id	lsl_nominal_srate_hz	lsl_effective_srate_hz	bandpass_enabled	bandpass_low_hz	bandpass_high_hz	bandpass_order	notch_enabled	notch_hz	notch_q	raw_ch_1	filtered_ch_1	raw_ch_2	filtered_ch_2	raw_ch_3	filtered_ch_3	raw_ch_4	filtered_ch_4	raw_ch_5	filtered_ch_5	raw_ch_6	filtered_ch_6	raw_ch_7	filtered_ch_7	raw_ch_8	filtered_ch_8	raw_ch_9	filtered_ch_9	raw_ch_10	filtered_ch_10	raw_ch_11	filtered_ch_11	raw_ch_12	filtered_ch_12	raw_ch_13	filtered_ch_13	raw_ch_14	filtered_ch_14	raw_ch_15	filtered_ch_15	raw_ch_16	filtered_ch_16	raw_ch_17	filtered_ch_17	raw_ch_18	filtered_ch_18	raw_ch_19	filtered_ch_19	raw_ch_20	filtered_ch_20
15.14586615562439	1779882483.0	1779882484.0311506	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	-3.4719088077545166	-0.23232459945525652	0.9575332999229431	0.7756358110167267	1.0108476877212524	0.8143108892809747	0.9607174396514893	0.7572868014045608	6.633899211883545	11.730097056557307	5.096645355224609	12.973783291341476	3.4868032932281494	11.596426031272651	-2.9983716011047363	13.915774144308068	2.6507060527801514	12.464336944107808	-5.485842704772949	13.39813250084371	0.738849401473999	0.7963758612463889	0.887282133102417	0.8374880956212828	0.9056903719902039	0.826553146475935	0.8713528513908386	0.7756367577633538	-3.355658769607544	-0.23156608173903226	0.9593512415885925	0.6933125797534576	0.6043689250946045	1.2881786173412113	0.9176158308982849	13.323858109904233	15.269640922546387	14.803257130141626	766.1946411132812	-442.66403810713996
15.14587140083313	1779882483.0	1779882484.0311558	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	-0.9745908975601196	1.6914988796857449	1.0043179988861084	0.17830137523321526	0.908063530921936	0.24157721093054652	0.9687381386756897	0.17347985162301816	4.26589298248291	11.877615757322797	3.6185200214385986	13.30331254628279	6.022994041442871	13.25374276921091	1.0901191234588623	15.188172837775666	1.5684576034545898	13.644463245306046	-3.1579480171203613	15.008311931405364	0.7431785464286804	0.31356847181560155	0.804151713848114	0.2633644771686548	0.9586449265480042	0.2877097219867771	0.8425771594047546	0.23538682802665462	-0.752569317817688	1.7520597704179126	0.902635931968689	0.10950185629602191	2.2512693405151367	0.9533488650580579	-0.9968912601470947	13.352877557926249	14.390241622924805	15.608946967205709	598.3267211914062	-624.7649357518856
15.145873785018921	1779882483.0	1779882484.0311582	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	2.064797878265381	3.402258651105174	0.4091885983943939	-0.32103542540987995	0.2556157112121582	-0.2326102271287099	0.3597307503223419	-0.31435507170509336	4.089971542358398	12.002208171890773	3.8928446769714355	13.598930844660348	9.138060569763184	14.714977074977828	4.567593574523926	16.311790774148502	2.7930474281311035	14.793846576951758	-0.3772091865539551	16.55708974170959	0.2099708765745163	-0.07497218938578555	0.18463900685310364	-0.21098173120639427	0.4034672975540161	-0.15630954531609925	0.2433650940656662	-0.20993276797639385	2.402799129486084	3.5137621919757236	0.2764629125595093	-0.3750280196646299	2.505260467529297	0.670871003782077	-0.9995757341384888	13.355636902505655	15.154874801635742	16.343071120868515	349.62451171875	-797.3116581478274
15.145877599716187	1779882483.0	1779882484.031162	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	4.110777378082275	4.722481010357901	-0.6249426007270813	-0.6435460681464261	-0.6817417740821838	-0.5310625186244982	-0.6335881948471069	-0.6294401487388626	6.702917098999023	12.084635000048587	6.039572238922119	13.836209655349103	10.986834526062012	15.833129209954949	4.721766471862793	17.185964461693164	6.146950721740723	15.881407295675714	1.306644082069397	17.992349315239757	-0.650093674659729	-0.2959818827894583	-0.7393808960914612	-0.506578191495326	-0.5564647912979126	-0.43078397619680964	-0.6842076182365417	-0.48539405097258215	4.515228271484375	4.86908967414734	-0.675987184047699	-0.6814440456730462	0.812903881072998	0.49017458961512667	1.1372607946395874	13.312611761709473	17.452024459838867	16.938187143893128	196.7425537109375	-948.9330900944625
15.145879745483398	1779882483.0	1779882484.0311642	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	4.157589435577393	5.542415490197356	-1.5083889961242676	-0.739745348983248	-1.3540966510772705	-0.6074919588190356	-1.4388000965118408	-0.7237823711926185	9.604411125183105	12.10969084805335	8.094870567321777	13.998506254237496	10.798187255859375	16.537425498303847	2.0807394981384277	17.783107396891094	9.230955123901367	16.87058881691211	1.3936413526535034	19.283701039534815	-1.3075366020202637	-0.30621097084885585	-1.448185920715332	-0.5753364109609295	-1.349341869354248	-0.4900425975586735	-1.391125202178955	-0.5456606964830988	4.536425590515137	5.70438540229042	-1.4128354787826538	-0.7615412711121129	-1.4536129236221313	0.4548729156993079	3.267510175704956	13.213755575335476	19.515846252441406	17.34243588878044	153.45953369140625	-1069.8660455092493
15.14588189125061	1779882483.0	1779882484.0311663	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	2.508758783340454	5.833085300821491	-1.7291233539581299	-0.6000559012841082	-1.382792353630066	-0.45625943386473183	-1.6018809080123901	-0.5882646314892317	9.970052719116211	12.077167527935831	8.252405166625977	14.085730424378141	9.3891019821167	16.845491143249056	-0.37383919954299927	18.150628672693674	9.955327033996582	17.72658998443687	0.9187212586402893	20.42432891759535	-1.3468220233917236	-0.10201673032171943	-1.5451829433441162	-0.4102738347600671	-1.5003787279129028	-0.32739091831446565	-1.4664922952651978	-0.384674098600231	2.7783703804016113	5.990232583520757	-1.5260040760040283	-0.6079236586645158	-2.3898463249206543	0.5910199141624851	3.2580583095550537	13.068348733686564	19.766443252563477	17.531866194017642	128.8078155517578	-1153.214668308732
15.145884037017822	1779882483.0	1779882484.0311685	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	0.5054340958595276	5.640925148700875	-1.1441588401794434	-0.25953798427212216	-0.7553070783615112	-0.11563309814823114	-1.0307625532150269	-0.2570085862159899	7.9962944984436035	12.014035426292635	7.013372421264648	14.123398496971701	8.07005786895752	16.85331512388491	-0.6437879204750061	18.38864191716424	8.950326919555664	18.427819728144303	1.3127098083496094	21.425608359649463	-0.6922944784164429	0.277341961035404	-0.9486368894577026	-0.049387338174787576	-0.9006152153015137	0.020803968706721937	-0.8433208465576172	-0.03914972146888511	0.6430227756500244	5.775594400876535	-0.9414461255073547	-0.2578498161490152	-1.4948036670684814	0.8930864243452907	1.4484562873840332	12.913724158244923	18.568927764892578	17.520571168027608	66.08959197998047	-1195.9429492862998
15.145886182785034	1779882483.0	1779882484.0311706	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	-0.5468047857284546	5.068205446242867	0.0789475291967392	0.20625442513133557	0.34044843912124634	0.3377243211291917	0.1102958470582962	0.1967846406842788	6.408726215362549	11.979263065779767	6.356124401092529	14.165820925038286	7.345160007476807	16.706047515136593	0.49556922912597656	18.613738308823912	8.601576805114746	18.975102962155947	2.898883581161499	22.307560094830805	0.49213269352912903	0.7551277046989001	0.21038058400154114	0.4294144332195691	0.28026947379112244	0.4796378524330689	0.3178144097328186	0.4165591932021528	-0.4893192946910858	5.167127984771257	0.19718581438064575	0.21182953334615637	0.16274569928646088	1.3153275894436829	0.010137150064110756	12.81593719367462	17.578819274902344	17.36252308647405	-16.606849670410156	-1199.4703933162007
15.145888090133667	1779882484.0	1779882484.0311725	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	-0.30375877022743225	4.2474250269231	1.5931618213653564	0.6953507007720203	1.6606056690216064	0.8034025499725088	1.5318537950515747	0.6744406365317815	6.75809383392334	12.05527409271497	6.9831318855285645	14.28887192691779	6.8730149269104	16.55765223147658	1.263683557510376	18.9224085284944	9.836390495300293	19.393375624144504	4.715721607208252	23.08929781062347	1.9158837795257568	1.2317449237233609	1.6649963855743408	0.9229880068622467	1.7265971899032593	0.9496692015894956	1.7291204929351807	0.8847249846960314	-0.24060304462909698	4.30232991731271	1.6249979734420776	0.6992616417861699	1.4823888540267944	1.7748682825684163	0.06473799049854279	12.858128162878664	17.492015838623047	17.14134240631276	-77.68003845214844	-1169.783175895389
15.145890235900879	1779882484.0	1779882484.0311747	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	0.5229141712188721	3.317897528333377	2.88299560546875	1.1010511157454452	2.8219056129455566	1.1784573677778274	2.7821030616760254	1.0726340105519232	7.511054039001465	12.325987340233803	7.39146614074707	14.57184493903468	6.424396991729736	16.530135949751678	1.4291058778762817	19.365474227800217	10.90632438659668	19.724127487954785	5.713170051574707	23.7825920628318	3.118541955947876	1.6059776445689418	2.9409921169281006	1.3247791581411386	2.9600934982299805	1.3280671370234145	2.9194118976593018	1.2650801183917895	0.6443520188331604	3.325187734478738	2.8839282989501953	1.0992057155305672	2.397411823272705	2.1679397567524767	0.4285908043384552	13.117745312146543	17.219587326049805	16.94883589639362	-93.8840560913086	-1116.9620671879225
15.14589238166809	1779882484.0	1779882484.0311768	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	0.8392701745033264	2.409156242174123	3.33378267288208	1.3356641997045755	3.2637743949890137	1.379936614497368	3.264246940612793	1.3061658694638794	6.6132588386535645	12.847335959101748	6.196998596191406	15.07243345217235	6.474059104919434	16.68315978802468	2.293522834777832	19.93981118366087	9.94242000579834	20.010538651880466	5.865116119384766	24.38974484839505	3.5050132274627686	1.797442241544113	3.405068874359131	1.5483478876078338	3.3839807510375977	1.531540143739453	3.2874510288238525	1.4768823163166764	1.0005559921264648	2.369178534181417	3.353928804397583	1.326236392188593	3.2104873657226562	2.395100861714204	-0.2782810926437378	13.639073684758618	15.718782424926758	16.857801791431342	-46.464054107666016	-1054.029122740768
15.145894050598145	1779882484.0	1779882484.0311785	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	0.04509878158569336	1.6310367729355162	2.5728049278259277	1.3493249805010414	2.5663864612579346	1.3623773901436576	2.568490743637085	1.3260867464562414	5.0256266593933105	13.620162233052547	4.672072410583496	15.80267818416419	7.7728352546691895	17.002522672945926	4.6002326011657715	20.598299440891676	7.971721172332764	20.28030749123018	6.089417934417725	24.905673526058827	2.6962876319885254	1.7637458648978528	2.6490681171417236	1.545844873215234	2.6212213039398193	1.514368854836573	2.478362560272217	1.4758164993743101	0.17885178327560425	1.5473867178886034	2.6277027130126953	1.3328696402168703	3.5006442070007324	2.3875401140391626	-1.0660187005996704	14.410790088924307	14.06560230255127	16.89785042838233	90.93840789794922	-995.113563513372
15.145896434783936	1779882484.0	1779882484.0311809	6	12.0	14.0	32.0	34.0	NeuronSpectrum 27.05.2026 14:31:40	EEG	checkup_138_27.05.2026 14:31:40	500.0	378.75	True	0.5	40.0	4	True	50.0	30.0	-1.5244269371032715	1.067326634496694	0.889083981513977	1.1383064972223733	0.9340754151344299	1.1252550781036688	0.9315327405929565	1.1278163875622387	6.088797092437744	14.576691151232353	5.790924549102783	16.71576330899243	10.449674606323242	17.411406128439047	7.436415195465088	21.274191031707165	8.129907608032227	20.53328960377775	7.2176337242126465	25.323760068254273	0.9755831360816956	1.5073012367214147	0.9493763446807861	1.3160130987582515	0.9444690942764282	1.2762014304070886	0.8147612810134888	1.2608308320048485	-1.4764043092727661	0.9463439564027786	0.9745615720748901	1.1173079585897898	2.4568588733673096	2.125923573650742	0.6426088213920593	15.358616539813335	14.682141304016113	17.043835498918668	301.097412109375	-953.1600962720247
